S,I,X,R,D
6.57273e+06,2,0,0,0
6.57273e+06,2.33397,0.2,0.2,0.0056
6.57272e+06,2.72377,0.412837,0.453397,0.0126951
6.57272e+06,3.17865,0.642774,0.767058,0.0214776
6.57272e+06,3.70951,0.894563,1.1492,0.0321776
6.57272e+06,4.32948,1.17355,1.60961,0.045069
6.57272e+06,5.05308,1.48586,2.15991,0.0604775
6.57272e+06,5.89773,1.83842,2.8138,0.0787865
6.57272e+06,6.88355,2.2392,3.58742,0.100448
6.57271e+06,8.03406,2.69737,4.49969,0.125991
6.57271e+06,9.37713,3.22348,5.57284,0.156039
6.57271e+06,10.9447,3.82982,6.8329,0.191321
6.5727e+06,12.7744,4.53059,8.31036,0.23269
6.5727e+06,14.91,5.34229,10.0409,0.281144
6.57269e+06,17.4026,6.28411,12.0661,0.337851
6.57269e+06,20.312,7.37836,14.4348,0.404173
6.57268e+06,23.7077,8.65107,17.2038,0.481706
6.57267e+06,27.671,10.1325,20.4397,0.572311
6.57266e+06,32.2969,11.858,24.22,0.678161
6.57265e+06,37.6961,13.8687,28.6355,0.801795
6.57263e+06,43.9978,16.2126,33.792,0.946176
6.57262e+06,51.3529,18.9457,39.813,1.11476
6.5726e+06,59.9373,22.1334,46.8429,1.3116
6.57258e+06,69.9566,25.8518,55.05,1.5414
6.57255e+06,81.6504,30.1899,64.6308,1.80966
6.57252e+06,95.2986,35.2514,75.8148,2.12282
6.57248e+06,111.228,41.1574,88.8698,2.48836
6.57244e+06,129.819,48.0492,104.108,2.91503
6.5724e+06,151.516,56.0916,121.895,3.41306
6.57234e+06,176.839,65.477,142.656,3.99436
6.57227e+06,206.392,76.4298,166.887,4.67285
6.5722e+06,240.882,89.212,195.17,5.46475
6.57211e+06,281.133,104.129,228.179,6.38901
6.572e+06,328.106,121.538,266.705,7.46775
6.57188e+06,382.923,141.855,311.67,8.72675
6.57174e+06,446.891,165.564,364.147,10.1961
6.57158e+06,521.537,193.233,425.393,11.911
6.57138e+06,608.639,225.523,496.87,13.9124
6.57116e+06,710.272,263.203,580.286,16.248
6.5709e+06,828.855,307.173,677.634,18.9737
6.57059e+06,967.209,358.481,791.236,22.1546
6.57023e+06,1128.62,418.35,923.805,25.8665
6.56981e+06,1316.91,488.205,1078.5,30.1981
6.56933e+06,1536.56,569.709,1259.01,35.2524
6.56876e+06,1792.74,664.799,1469.64,41.1499
6.5681e+06,2091.52,775.731,1715.39,48.031
6.56732e+06,2439.93,905.138,2002.12,56.0593
6.56642e+06,2846.15,1056.08,2336.63,65.4255
6.56537e+06,3319.73,1232.13,2726.85,76.3518
6.56415e+06,3871.7,1437.44,3182.04,89.097
6.56272e+06,4514.94,1676.84,3712.95,103.963
6.56105e+06,5264.33,1955.96,4332.13,121.3
6.55989e+06,5360.96,2281.32,5054.16,141.516
6.5587e+06,5458.96,2582.9,5818.39,162.915
6.5575e+06,5558.32,2863.27,6622.57,185.432
6.55627e+06,5659.08,3124.76,7464.73,209.012
6.55502e+06,5761.21,3369.44,8343.11,233.607
6.55375e+06,5864.74,3599.18,9256.18,259.173
6.55245e+06,5969.68,3815.66,10202.6,285.672
6.55114e+06,6076.01,4020.38,11181.1,313.071
6.5498e+06,6183.76,4214.69,12190.7,341.341
6.54843e+06,6292.93,4399.79,13230.6,370.456
6.54751e+06,5941.26,4576.79,14299.9,400.396
6.54664e+06,5609.04,4700.42,15351.7,429.847
