S,I,R,D,X
6.57273e+06,2,0,0,0
6.57273e+06,2.33406,0.2,0.2,0.0056
6.57272e+06,2.72376,0.412846,0.453406,0.0126954
6.57272e+06,3.17882,0.642782,0.767067,0.0214779
6.57272e+06,3.70991,0.894586,1.14923,0.0321784
6.57272e+06,4.33001,1.17361,1.60968,0.0450709
6.57272e+06,5.05371,1.48597,2.16004,0.0604811
6.57272e+06,5.89855,1.83858,2.81401,0.0787922
6.57272e+06,6.88452,2.23943,3.58772,0.100456
6.57271e+06,8.03543,2.69767,4.50011,0.126003
6.57271e+06,9.37873,3.22389,5.57342,0.156056
6.57271e+06,10.9466,3.83035,6.83369,0.191343
6.5727e+06,12.7766,4.53125,8.31138,0.232719
6.5727e+06,14.9125,5.3431,10.0422,0.281181
6.57269e+06,17.4055,6.28508,12.0677,0.337896
6.57269e+06,20.3153,7.37952,14.4368,0.40423
6.57268e+06,23.7114,8.65243,17.2063,0.481775
6.57267e+06,27.6753,10.1341,20.4426,0.572394
6.57266e+06,32.3018,11.8598,24.2236,0.67826
6.57265e+06,37.7016,13.8708,28.6398,0.801913
6.57263e+06,44.004,16.2151,33.797,0.946316
6.57262e+06,51.3599,18.9486,39.8189,1.11493
6.5726e+06,59.9452,22.1366,46.8498,1.31179
6.57258e+06,69.9654,25.8555,55.0579,1.54162
6.57255e+06,81.6603,30.1941,64.64,1.80992
6.57252e+06,95.3097,35.2562,75.8255,2.12311
6.57248e+06,111.24,41.1628,88.8821,2.4887
6.57244e+06,129.832,48.0553,104.122,2.91543
6.5724e+06,151.531,56.0984,121.911,3.41351
6.57234e+06,176.856,65.4847,142.674,3.99487
6.57227e+06,206.411,76.4384,166.908,4.67343
6.5722e+06,240.903,89.2216,195.193,5.4654
6.57211e+06,281.156,104.14,228.205,6.38975
6.572e+06,328.132,121.55,266.735,7.46858
6.57188e+06,382.951,141.868,311.703,8.72769
6.57174e+06,446.923,165.579,364.185,10.1972
6.57158e+06,521.573,193.25,425.435,11.9122
6.57138e+06,608.681,225.541,496.918,13.9137
6.57116e+06,710.322,263.224,580.34,16.2495
6.5709e+06,828.916,307.196,677.695,18.9754
6.57059e+06,967.284,358.508,791.306,22.1566
6.57023e+06,1128.71,418.382,923.885,25.8688
6.56981e+06,1317.04,488.244,1078.59,30.2006
6.56933e+06,1536.72,569.756,1259.12,35.2554
6.56876e+06,1792.96,664.857,1469.77,41.1536
6.5681e+06,2091.82,775.806,1715.55,48.0355
6.56732e+06,2440.35,905.235,2002.31,56.0648
6.56642e+06,2846.74,1056.21,2336.87,65.4324
6.56537e+06,3320.54,1232.31,2727.17,76.3607
6.56415e+06,3872.85,1437.68,3182.45,89.1087
6.56272e+06,4516.54,1677.17,3713.51,103.978
6.56172e+06,4600.12,1956.41,4332.88,121.321
6.5607e+06,4684.95,2215.3,4988.53,139.679
6.55966e+06,4771.05,2456.07,5678.55,159
6.55861e+06,4858.43,2680.69,6401.27,179.235
6.55753e+06,4947.09,2890.96,7155.18,200.345
6.55644e+06,5037.05,3088.47,7938.98,222.292
6.55533e+06,5128.3,3274.68,8751.53,245.043
6.5542e+06,5220.87,3450.88,9591.83,268.571
6.55304e+06,5314.76,3618.21,10459,292.852
6.55187e+06,5409.97,3777.74,11352.3,317.865
6.55107e+06,5108.67,3930.38,12271.1,343.59
6.55032e+06,4824,4037.21,13175,368.899
6.54961e+06,4555.07,4104.58,14061.1,393.711
6.54894e+06,4301.02,4138.14,14927.1,417.958
6.54831e+06,4061.03,4142.84,15771,441.588
6.54771e+06,3834.36,4123.06,16591.4,464.558
6.54715e+06,3620.26,4082.64,17387.1,486.839
6.54662e+06,3418.05,4024.97,18157.4,508.407
6.54612e+06,3227.07,3953.01,18901.7,529.248
6.54564e+06,3046.72,3869.35,19619.7,549.352
6.5452e+06,2876.4,3776.25,20311.3,568.717
6.54477e+06,2715.56,3675.69,20976.6,587.344
6.54437e+06,2563.69,3569.39,21615.7,605.24
6.544e+06,2420.28,3458.82,22229,622.413
6.54364e+06,2284.87,3345.28,22816.9,638.874
6.54331e+06,2157.01,3229.88,23379.9,654.638
6.54299e+06,2036.29,3113.55,23918.6,669.722
6.54269e+06,1922.32,2997.1,24433.6,684.141
6.54241e+06,1814.7,2881.23,24925.6,697.916
6.54214e+06,1713.1,2766.51,25395.2,711.064
6.54189e+06,1617.18,2653.43,25843.1,723.607
6.54165e+06,1526.62,2542.37,26270.2,735.565
6.54143e+06,1441.13,2433.68,26677.1,746.958
6.54122e+06,1360.42,2327.61,27064.6,757.808
6.54102e+06,1284.22,2224.37,27433.4,768.134
6.54083e+06,1212.29,2124.13,27784.2,777.958
6.54065e+06,1144.38,2027,28117.9,787.3
6.54048e+06,1080.27,1933.06,28435,796.18
6.54032e+06,1019.76,1842.37,28736.3,804.617
6.54018e+06,962.627,1754.95,29022.5,812.631
6.54003e+06,908.697,1670.8,29294.3,820.24
6.5399e+06,857.788,1589.91,29552.2,827.463
6.53977e+06,809.731,1512.25,29797,834.316
6.53966e+06,764.365,1437.76,30029.2,840.818
6.53954e+06,721.541,1366.4,30249.4,846.984
6.53944e+06,681.117,1298.09,30458.2,852.83
6.53934e+06,642.957,1232.75,30656.1,858.372
6.53924e+06,606.935,1170.32,30843.7,863.624
6.53915e+06,572.931,1110.71,31021.4,868.6
6.53907e+06,540.834,1053.82,31189.8,873.314
6.53899e+06,510.534,999.57,31349.3,877.78
6.53892e+06,481.933,947.868,31500.3,882.008
6.53885e+06,454.935,898.62,31643.3,886.011
6.53878e+06,429.449,851.736,31778.6,889.801
6.53872e+06,405.392,807.122,31906.7,893.389
6.53866e+06,382.683,764.689,32028,896.784
6.5386e+06,361.247,724.347,32142.7,899.996
6.53855e+06,341.012,686.009,32251.3,903.036
6.5385e+06,321.911,649.589,32354,905.912
6.53845e+06,303.881,615.002,32451.1,908.632
6.5384e+06,286.861,582.168,32543,911.205
6.53836e+06,270.795,551.007,32629.9,913.638
6.53832e+06,255.629,521.443,32712.1,915.939
6.53829e+06,241.313,493.402,32789.8,918.115
6.53825e+06,227.799,466.811,32863.3,920.172
6.53822e+06,215.043,441.603,32932.7,922.117
6.53818e+06,203.001,417.711,32998.4,923.955
6.53816e+06,184.184,395.07,33060.5,925.693
6.53814e+06,167.111,372.875,33118.4,927.315
6.53812e+06,151.621,351.255,33172.4,928.827
6.53811e+06,137.567,330.308,33222.7,930.235
6.53809e+06,124.816,310.109,33269.5,931.545
6.53808e+06,113.247,290.711,33313,932.763
6.53807e+06,102.751,272.151,33353.4,933.894
6.53805e+06,93.2272,254.449,33390.9,934.944
6.53804e+06,84.5865,237.614,33425.6,935.918
6.53803e+06,76.7468,221.646,33457.8,936.82
6.53803e+06,69.6338,206.536,33487.7,937.655
6.53802e+06,63.1802,192.267,33515.3,938.428
6.53801e+06,57.3248,178.82,33540.8,939.144
6.53801e+06,52.0121,166.17,33564.5,939.805
6.538e+06,47.1919,154.289,33586.3,940.416
6.53799e+06,42.8185,143.147,33606.4,940.98
6.53799e+06,38.8504,132.713,33625,941.501
6.53799e+06,35.2502,122.956,33642.2,941.981
6.53798e+06,31.9836,113.841,33658,942.424
6.53798e+06,29.0198,105.336,33672.6,942.832
6.53798e+06,26.3306,97.4097,33686,943.209
6.53797e+06,24.8574,90.029,33698.4,943.555
6.53797e+06,23.4667,83.2598,33709.9,943.877
6.53796e+06,22.1538,77.0474,33720.6,944.176
6.53796e+06,20.9144,71.3423,33730.5,944.453
6.53796e+06,19.7445,66.0997,33739.7,944.712
6.53795e+06,18.64,61.2791,33748.3,944.952
6.53795e+06,17.5974,56.8436,33756.3,945.176
6.53795e+06,16.6131,52.7598,33763.7,945.384
6.53795e+06,15.6839,48.9974,33770.7,945.578
6.53794e+06,14.8067,45.5289,33777.1,945.76
6.53794e+06,13.9787,42.3292,33783.2,945.928
6.53794e+06,13.1969,39.3756,33788.8,946.086
6.53794e+06,12.459,36.6475,33794,946.233
6.53794e+06,11.7623,34.126,33799,946.371
6.53794e+06,11.1046,31.7941,33803.5,946.499
6.53793e+06,10.4837,29.6361,33807.8,946.619
6.53793e+06,9.89756,27.6379,33811.8,946.732
6.53793e+06,9.34421,25.7865,33815.6,946.837
6.53793e+06,8.82182,24.0701,33819.1,946.935
6.53793e+06,8.32865,22.4778,33822.4,947.027
6.53793e+06,7.86307,21,33825.5,947.114
6.53793e+06,7.71231,19.6275,33828.4,947.194
6.53792e+06,7.56447,18.381,33831.1,947.271
6.53792e+06,7.41949,17.2479,33833.7,947.344
6.53792e+06,7.27732,16.2168,33836.2,947.413
6.53792e+06,7.13789,15.2774,33838.5,947.478
6.53792e+06,7.00116,14.4207,33840.8,947.541
6.53792e+06,6.86707,13.6384,33842.9,947.601
6.53792e+06,6.73557,12.923,33845,947.659
6.53791e+06,6.60662,12.2681,33846.9,947.714
6.53791e+06,6.48015,11.6676,33848.8,947.766
6.53791e+06,6.35613,11.1162,33850.6,947.817
6.53791e+06,6.2345,10.6091,33852.4,947.866
6.53791e+06,6.11521,10.1419,33854,947.913
6.53791e+06,5.99823,9.71083,33855.7,947.959
6.53791e+06,5.88351,9.31238,33857.2,948.003
6.53791e+06,5.771,8.94342,33858.8,948.045
6.53791e+06,5.66066,8.60114,33860.2,948.087
6.5379e+06,5.55244,8.283,33861.7,948.127
6.5379e+06,5.44631,7.98676,33863,948.165
6.5379e+06,5.34223,7.71035,33864.4,948.203
6.5379e+06,5.24015,7.45195,33865.7,948.239
