S,I,X,R,D
6.57273e+06,2,0,0,0
6.57273e+06,2.33438,0.2,0.2,0.0056
6.57272e+06,2.72468,0.412878,0.453438,0.0126963
6.57272e+06,3.18023,0.642902,0.767194,0.0214814
6.57272e+06,3.71195,0.894835,1.14951,0.0321862
6.57272e+06,4.33257,1.17404,1.61019,0.0450852
6.57272e+06,5.05695,1.48661,2.16085,0.0605037
6.57272e+06,5.90246,1.83948,2.8152,0.0788257
6.57272e+06,6.88932,2.24063,3.5894,0.100503
6.57271e+06,8.04119,2.69922,4.50239,0.126067
6.57271e+06,9.38565,3.22586,5.57643,0.15614
6.57271e+06,10.9549,3.83281,6.83758,0.191452
6.5727e+06,12.7865,4.53428,8.31635,0.232858
6.5727e+06,14.9244,5.34681,10.0484,0.281356
6.57269e+06,17.4197,6.2896,12.0756,0.338115
6.57269e+06,20.3321,7.38499,14.4465,0.404501
6.57268e+06,23.7316,8.65903,17.2182,0.482109
6.57267e+06,27.6994,10.142,20.4573,0.572803
6.57266e+06,32.3305,11.8694,24.2414,0.678759
6.57265e+06,37.7359,13.8823,28.6614,0.802519
6.57263e+06,44.0451,16.2287,33.8232,0.947049
6.57262e+06,51.409,18.9649,39.8506,1.11582
6.5726e+06,60.004,22.1562,46.888,1.31286
6.57258e+06,70.0359,25.879,55.104,1.54291
6.57255e+06,81.7449,30.2222,64.6955,1.81147
6.57252e+06,95.4114,35.2899,75.8922,2.12498
6.57248e+06,111.362,41.2032,88.9623,2.49095
6.57244e+06,129.98,48.1038,104.219,2.91813
6.57239e+06,151.709,56.1567,122.027,3.41676
6.57234e+06,177.071,65.5547,142.814,3.99879
6.57227e+06,206.671,76.5228,167.076,4.67814
6.5722e+06,241.219,89.3234,195.396,5.47108
6.57211e+06,281.541,104.263,228.45,6.3966
6.572e+06,328.601,121.699,267.03,7.47685
6.57188e+06,383.525,142.048,312.06,8.73769
6.57174e+06,447.625,165.798,364.618,10.2093
6.57157e+06,522.435,193.517,425.96,11.9269
6.57138e+06,609.741,225.867,497.555,13.9315
6.57116e+06,711.629,263.622,581.116,16.2712
6.57089e+06,830.532,307.684,678.641,19.0019
6.57058e+06,969.287,359.107,792.463,22.189
6.57023e+06,1131.2,419.12,925.302,25.9085
6.56981e+06,1320.14,489.155,1080.33,30.2494
6.56932e+06,1540.6,570.884,1261.26,35.3154
6.56875e+06,1797.82,666.257,1472.41,41.2276
6.56809e+06,2097.93,777.548,1718.82,48.127
6.56731e+06,2448.04,907.409,2006.37,56.1783
6.56641e+06,2856.45,1058.93,2341.91,65.5736
6.56535e+06,3332.84,1235.72,2733.45,76.5367
6.56412e+06,3888.46,1441.97,3190.31,89.3286
6.56268e+06,4536.39,1682.58,3723.35,104.254
6.56184e+06,4454.14,1963.25,4345.25,121.667
6.56102e+06,4373.26,2206.84,4986.99,139.636
6.56021e+06,4293.74,2417.31,5645,158.06
6.55942e+06,4215.55,2598.18,6316.1,176.851
6.55864e+06,4138.69,2752.64,6997.48,195.929
6.55788e+06,4063.12,2883.54,7686.61,215.225
6.55713e+06,3988.84,2993.42,8381.27,234.676
6.55639e+06,3915.82,3084.58,9079.5,254.226
6.55567e+06,3844.05,3159.07,9779.54,273.827
6.55496e+06,3773.51,3218.72,10479.9,293.436
6.55427e+06,3704.19,3265.19,11179.1,313.014
6.55358e+06,3636.05,3299.95,11876,332.528
6.55291e+06,3569.1,3324.32,12569.6,351.949
6.55225e+06,3503.31,3339.49,13259,371.251
6.55161e+06,3438.65,3346.52,13943.2,390.411
6.55098e+06,3375.13,3346.36,14621.8,409.409
6.55035e+06,3312.71,3339.87,15293.9,428.229
6.54974e+06,3251.39,3327.8,15959.2,446.857
6.54914e+06,3191.14,3310.84,16617.1,465.278
6.54856e+06,3131.95,3289.6,17267.3,483.484
6.54798e+06,3073.81,3264.63,17909.4,501.464
6.54741e+06,3016.69,3236.4,18543.3,519.212
6.54686e+06,2960.58,3205.37,19168.6,536.72
6.54631e+06,2905.47,3171.92,19785.2,553.985
6.54578e+06,2851.34,3136.39,20392.9,571.002
6.54525e+06,2798.17,3099.1,20991.7,587.768
6.54474e+06,2745.95,3060.33,21581.4,604.28
6.54423e+06,2694.67,3020.33,22162.1,620.537
6.54373e+06,2644.3,2979.3,22733.6,636.539
6.54325e+06,2594.83,2937.46,23295.9,652.286
6.54277e+06,2546.26,2894.97,23849.1,667.776
6.5423e+06,2498.56,2852,24393.3,683.011
6.54184e+06,2451.72,2808.67,24928.3,697.993
6.54139e+06,2405.72,2765.11,25454.4,712.722
6.54095e+06,2360.56,2721.43,25971.4,727.2
6.54051e+06,2316.21,2677.72,26479.6,741.43
6.54009e+06,2272.67,2634.07,26979,755.413
6.53967e+06,2229.93,2590.56,27469.7,769.152
6.53926e+06,2187.95,2547.24,27951.8,782.649
6.53886e+06,2146.75,2504.18,28425.3,795.908
6.53846e+06,2106.29,2461.42,28890.4,808.93
6.53807e+06,2066.58,2419.02,29347.1,821.72
6.53769e+06,2027.59,2377,29795.7,834.28
6.53732e+06,1989.32,2335.4,30236.2,846.612
6.53695e+06,1951.74,2294.26,30668.6,858.722
6.5366e+06,1914.86,2253.58,31093.2,870.61
6.53624e+06,1878.66,2213.4,31510.1,882.282
6.5359e+06,1843.12,2173.73,31919.3,893.74
6.53556e+06,1808.23,2134.58,32321,904.987
6.53523e+06,1773.99,2095.97,32715.2,916.027
6.5349e+06,1740.39,2057.9,33102.2,926.863
6.53458e+06,1707.4,2020.39,33482.1,937.498
6.53427e+06,1675.03,1983.43,33854.8,947.936
6.53396e+06,1643.25,1947.04,34220.7,958.179
6.53366e+06,1612.06,1911.21,34579.7,968.232
6.53336e+06,1581.45,1875.94,34932.1,978.097
6.53307e+06,1551.41,1841.24,35277.8,987.778
6.53278e+06,1521.93,1807.1,35617.1,997.278
6.5325e+06,1493,1773.53,35950,1006.6
6.53223e+06,1464.61,1740.51,36276.6,1015.75
6.53196e+06,1436.74,1708.04,36597.1,1024.72
6.5317e+06,1409.4,1676.13,36911.6,1033.52
6.53144e+06,1382.57,1644.77,37220.2,1042.16
6.53118e+06,1356.23,1613.94,37522.9,1050.64
6.53094e+06,1330.39,1583.65,37819.9,1058.96
6.53069e+06,1305.04,1553.89,38111.3,1067.12
6.53045e+06,1280.16,1524.65,38397.2,1075.12
6.53031e+06,1161.66,1495.94,38677.7,1082.98
6.53018e+06,1054.13,1458.32,38943.4,1090.42
6.53007e+06,956.554,1413.82,39194.7,1097.45
6.52996e+06,868.007,1364.13,39431.7,1104.09
6.52986e+06,787.655,1310.7,39654.9,1110.34
6.52978e+06,714.741,1254.73,39864.8,1116.21
6.5297e+06,648.575,1197.21,40061.7,1121.73
6.52963e+06,588.534,1139,40246.3,1126.9
6.52956e+06,534.05,1080.76,40419.1,1131.73
6.5295e+06,484.61,1023.07,40580.5,1136.25
6.52945e+06,439.746,966.355,40731.3,1140.48
6.5294e+06,399.036,910.988,40871.9,1144.41
6.52936e+06,362.094,857.242,41002.9,1148.08
6.52932e+06,328.572,805.327,41124.8,1151.5
6.52928e+06,298.153,755.397,41238.2,1154.67
6.52925e+06,270.551,707.557,41343.6,1157.62
6.52922e+06,245.503,661.875,41441.4,1160.36
6.52919e+06,222.775,618.385,41532.1,1162.9
6.52917e+06,202.15,577.092,41616.3,1165.26
6.52914e+06,183.435,537.982,41694.2,1167.44
