CENTROID_X,CENTROID_Y,Population
292,216,1700
212,265,586
181,285,260
56,125,327
236,249,511
280,217,3257
203,169,300
285,196,4496
167,170,250
228,109,424
246,316,952
222,269,550
210,214,511
62,225,97
138,138,1911
252,143,419
252,113,92
246,152,1405
102,199,2097
169,39,550
84,73,1982
239,304,508
76,12,441
127,42,1673
92,276,486
299,149,3013
259,220,961
222,209,547
263,142,562
221,202,1486
144,48,2437
45,85,353
235,180,572
235,87,353
147,34,526
187,251,1029
179,172,156
205,379,457
128,206,385
268,243,979
216,220,332
177,376,925
252,151,589
201,251,169
209,389,1793
282,232,1628
112,150,1986
288,205,1854
228,76,2085
233,156,771
191,245,450
132,131,715
174,222,1630
234,217,528
101,64,905
98,53,597
278,244,5565
298,196,5623
171,52,691
116,131,1075
166,162,337
96,99,672
251,98,523
247,144,855
163,110,2143
218,238,213
53,107,502
185,291,91
163,270,120
167,321,195
287,209,3484
257,101,549
50,98,722
101,148,709
257,295,883
144,48,1667
252,155,525
151,96,374
207,205,759
44,232,439
213,182,425
143,47,1191
228,261,901
161,155,1870
96,180,90
241,247,427
271,206,6257
159,94,194
200,232,111
266,112,984
77,112,322
80,18,311
87,93,371
136,302,347
184,258,897
291,238,707
132,132,736
214,208,273
285,205,3449
139,358,120
250,86,824
254,109,421
245,123,285
102,109,5104
90,50,451
292,213,5806
93,256,551
219,166,174
133,236,470
154,301,374
204,221,127
144,312,5222
19,48,280
167,263,162
243,160,433
83,204,1044
141,48,607
73,32,1082
160,222,334
287,207,1944
288,211,4085
240,222,550
293,204,2955
281,214,11320
60,199,1283
202,176,171
272,170,258
287,204,2074
295,216,4854
52,51,146
41,22,1483
293,205,2083
263,195,21597
201,161,832
234,259,1129
56,289,303
146,259,155
135,149,143
142,48,2185
233,79,9545
148,393,1440
142,66,674
166,354,4027
292,213,3590
293,205,3122
107,56,574
245,306,912
157,296,123
232,108,150
102,200,2966
137,144,340
57,46,279
175,387,379
294,215,1490
207,255,301
130,152,413
234,289,1598
288,209,1312
71,209,316
302,184,10731
235,88,269
41,309,939
101,159,314
142,48,1162
229,100,651
280,198,921
203,274,959
222,245,1344
74,0,342
300,202,1756
229,188,2404
203,248,247
142,46,773
280,202,17824
218,198,1607
236,120,274
226,191,396
159,273,379
124,35,652
198,366,653
129,161,298
64,123,143
82,66,753
187,217,774
251,257,911
75,19,336
63,204,835
114,191,1371
166,78,244
278,282,1710
240,319,1162
297,214,2169
125,116,1692
148,97,304
163,55,596
151,141,457
187,406,241
214,204,599
118,307,469
187,206,465
202,94,354
143,255,2971
119,52,553
45,106,578
156,44,8353
133,132,1517
219,100,1835
300,193,6459
69,228,172
285,264,924
135,54,5607
214,165,465
262,100,374
285,132,316
193,130,1102
296,211,7107
288,291,1356
236,245,301
89,283,837
287,212,1478
31,60,256
242,198,331
62,17,201
292,213,2051
148,129,1238
244,112,270
58,5,186
253,250,913
272,88,865
293,222,2674
249,165,392
176,131,394
272,147,178
257,138,513
145,298,388
130,37,1024
281,83,528
143,60,659
51,12,177
269,78,2246
169,260,194
271,276,1573
171,227,809
289,198,1111
286,214,2904
288,212,2577
99,83,211
16,86,434
75,15,267
105,286,383
241,188,859
157,320,172
188,86,727
215,108,210
104,238,663
232,414,705
255,123,208
97,93,310
254,133,580
76,150,714
283,207,11316
289,215,2458
137,45,1934
295,239,8116
288,212,5650
174,303,154
236,323,220
242,174,167
124,218,775
132,131,1198
236,87,1520
183,213,689
233,87,2556
165,371,157
162,246,388
297,233,3458
289,203,4602
260,108,1252
169,239,529
290,223,7711
159,38,2601
138,34,1226
210,113,429
85,78,458
129,241,363
283,149,427
263,230,1560
199,272,326
232,230,506
148,148,3124
190,259,1475
159,146,688
233,117,2347
186,268,370
97,226,1159
227,293,206
165,252,174
190,268,237
117,15,761
206,271,212
131,134,2891
298,221,7429
126,102,548
199,129,176
207,250,382
302,214,8294
107,203,949
251,212,733
