S,I,X,R,D,N
1063.36,1.85546,1.47146,45.0501,1.2614,
1726.82,2.53477,1.91078,95.0742,2.66208,
1435.56,2.49889,1.97466,60.2748,1.68769,
1656.29,2.87635,2.2879,70.5689,1.97593,
1742,3.01439,2.37592,72.5791,2.03221,
2883.32,5.00924,3.92003,117.467,3.28906,
2551.1,3.63995,2.74523,139.604,3.90892,
1862.75,3.30797,2.66127,81.9863,2.29562,
2571.04,4.52821,3.6391,111.666,3.12666,
2042.63,3.50009,2.80823,88.5785,2.4802,
1623.32,2.81795,2.22721,67.7401,1.89672,
2122.04,3.6748,2.90022,88.8948,2.48905,
1866.72,3.23573,2.56181,78.2927,2.19219,
2676.16,4.64658,3.67829,112.372,3.14641,
2450.23,4.24567,3.35734,103.272,2.89162,
2656.04,4.58015,3.57225,107.789,3.01809,
1666.64,2.90129,2.30572,71.1627,1.99256,
1491.6,2.5727,2.0515,63.9795,1.79143,
2245.58,3.85625,3.04636,93.8925,2.62899,
2524.46,4.3671,3.45782,105.753,2.96107,
1476.94,2.55941,2.02434,61.744,1.72883,
1727.35,2.98453,2.36373,72.2778,2.02378,
2047.16,3.54231,2.80797,86.0794,2.41022,
2333.64,4.04025,3.17062,95.4788,2.67341,
2534.43,3.57069,2.72563,142.285,3.98399,
1501.54,2.59514,1.99068,66.0287,1.8488,
1942.15,3.34023,2.55072,84.5915,2.36856,
2242.92,3.79353,2.85083,94.7861,2.65401,
1934.37,3.19064,2.42665,83.6707,2.34278,
2092.87,3.48921,2.66328,91.4219,2.55981,
1374.34,2.33148,1.7509,57.9513,1.62264,
1538.94,2.61215,1.957,64.6786,1.811,
1423.73,2.36765,1.78029,60.4306,1.69206,
1826.04,2.98564,2.24646,77.5595,2.17167,
2742.95,4.61097,3.45626,115.743,3.24081,
1583.91,2.69493,2.03821,67.4656,1.88904,
1237.27,2.10296,1.58483,52.5707,1.47198,
1271.78,2.16683,1.6341,53.9141,1.50959,
1236.68,2.10578,1.58099,52.1723,1.46082,
1266.2,2.16409,1.63351,53.5087,1.49824,
1545.47,2.64211,1.99589,66.045,1.84926,
1615.89,2.62995,1.96719,67.6238,1.89347,
1565.49,2.5733,1.92086,65.1877,1.82526,
1346.63,2.20652,1.64065,55.9536,1.5667,
1479.25,2.40793,1.79473,61.8117,1.73073,
1376.42,2.32846,1.74407,57.8868,1.62083,
1277.36,2.15923,1.61043,53.3758,1.49452,
1330.24,2.24633,1.68433,56.2513,1.57504,
1406.68,2.37097,1.78011,59.5037,1.6661,
1510.48,2.54454,1.9059,63.2984,1.77235,
1440.88,2.46433,1.88833,63.0004,1.76401,
1532.64,2.61199,1.99168,66.8848,1.87277,
1910.7,3.26728,2.53425,86.0865,2.41042,
1416.33,2.384,1.82185,61.7313,1.72848,
1463.56,2.51515,1.91237,63.2387,1.77068,
1530.89,2.60597,1.96897,65.6941,1.83944,
1713.6,2.87748,2.15267,72.3462,2.02569,
1685.37,2.80301,2.09013,70.755,1.98114,
1613.62,2.63884,1.96957,67.8698,1.90036,
2477.06,4.05225,3.03431,103.946,2.91048,
1541.77,2.60089,1.95081,64.8647,1.81621,
1705.2,2.86237,2.14445,71.7828,2.00992,
1329.76,2.23834,1.67589,55.7615,1.56132,
1798.79,3.13386,2.44475,82.3228,2.30504,
1451.33,2.53416,1.9697,66.3115,1.85672,
2275.16,3.82037,2.95708,102.203,2.86168,
2223.88,3.72142,2.87689,98.7566,2.76518,
1487.65,2.5201,1.89444,63.1619,1.76853,
1417.36,2.40519,1.80858,59.7574,1.67321,
1471.84,2.48552,1.86336,62.0728,1.73804,
1419.7,2.39007,1.78652,59.4588,1.66485,
2354.58,3.66405,3.18386,191.217,5.35407,
2525.53,4.62034,3.99201,185.656,5.19837,
2591.16,4.07913,3.57219,212.246,5.94288,
2230.41,3.90056,3.53649,196.648,5.50613,
2584.85,4.31679,3.64227,176.256,4.93517,
1348.03,2.15521,1.87757,112.775,3.15771,
1202.79,1.91448,1.66109,98.8634,2.76817,
3167.28,5.69123,5.24791,288.702,8.08365,
2356.36,3.81499,3.35817,195.98,5.48744,
1378.83,2.11962,1.81599,110.149,3.08417,
1716.15,2.56393,2.17756,133.375,3.7345,
2382.28,3.456,2.92527,183.21,5.12987,
1635.2,2.98315,2.73092,149.885,4.19677,
2556.66,4.17525,3.70218,214.46,6.00489,
2278.44,4.72342,4.17849,181.576,5.08411,
2811.19,4.08902,3.41363,210.418,5.89171,
2688.79,3.84126,3.20619,201.524,5.64269,
2594.53,4.21021,3.66813,211.666,5.92664,
2503.26,4.15929,3.70599,212.912,5.96153,
2156.66,3.3348,2.89558,174.228,4.8784,
2512.55,3.83471,3.25498,194.9,5.45719,
1208.74,1.78759,1.49192,93.3631,2.61417,
1572.22,2.32477,1.96374,122.078,3.41818,
2713.21,3.87936,3.20382,199.129,5.57562,
1600.96,2.50984,2.17618,130.695,3.65946,
2005.94,3.38346,2.68479,84.6269,2.36955,
1387.83,2.35197,1.87196,59.2882,1.66007,
2324.9,3.92985,3.1361,100.229,2.80641,
3347.49,5.62991,4.46313,141.453,3.96067,
1840.68,3.12643,2.47474,77.5433,2.17121,
1662.88,2.80302,2.20851,69.1695,1.93675,
2473.18,4.14481,3.289,104.463,2.92496,
1526.35,2.57669,2.03757,63.2651,1.77142,
1690.5,2.83529,2.21917,69.4969,1.94591,
2031.89,3.41943,2.71067,85.5824,2.39631,
2475.01,4.12355,3.26289,104.672,2.93082,
2678.67,4.48905,3.57618,115.04,3.22112,
2258.23,3.78687,3.00095,95.3147,2.66881,
2491.81,4.0774,3.25224,107.839,3.0195,
1705.58,2.86474,2.25599,71.2994,1.99638,
1532.02,2.57031,2.02779,64.5773,1.80816,
1599.43,2.69725,2.15309,67.8221,1.89902,
3298.09,5.4432,4.34252,139.227,3.89837,
2853.52,4.85086,3.78621,115.603,3.23688,
3303.95,5.57228,4.45361,143.021,4.00458,
1801.81,3.05269,2.41375,75.6073,2.117,
1821.22,3.11612,2.45181,75.107,2.103,
1395.66,2.38554,1.88994,58.4307,1.63606,
1669.19,2.83515,2.24607,69.7751,1.9537,
2044.7,3.43426,2.71318,85.7544,2.40112,
1484.25,2.48605,1.98825,64.4658,1.80504,
1509.04,2.4855,1.98588,65.6522,1.83826,
2401.25,4.00917,3.13963,97.8597,2.74007,
2591.32,4.34949,3.44446,108.84,3.04753,
1810.83,2.95531,2.3485,76.7202,2.14816,
1999.53,3.10763,2.48722,87.4264,2.44794,
1909.02,2.96877,2.37421,82.3273,2.30516,
1903.62,3.09547,2.45971,81.5434,2.28322,
1441.75,2.25824,1.79011,61.4798,1.72143,
2174.56,3.49092,2.79803,94.5002,2.64601,
1716.48,2.70393,2.16348,74.5683,2.08791,
1641.24,2.56233,2.04375,71.1647,1.99261,
1804.38,2.87757,2.30034,78.2466,2.1909,
1715.21,2.77224,2.21546,74.7065,2.09178,
1602.22,2.57378,2.04716,68.247,1.91092,
2393.42,3.73212,2.9879,103.951,2.91062,
1459.4,2.27235,1.8164,63.7302,1.78445,
2561.15,3.98236,3.19275,112.522,3.15061,
1651.36,2.62594,2.08239,69.9729,1.95924,
2028.76,3.20092,2.57459,88.9726,2.49123,
2009.45,3.90566,3.252,109.329,3.06122,
2517.59,4.90044,4.07633,136.607,3.82498,
2668.16,5.07827,4.12453,135.832,3.8033,
2836.76,5.51423,4.57722,154.809,4.33466,
2480.31,4.944,4.11665,135.827,3.80315,
2434.77,4.3606,3.46003,117.131,3.27968,
1931.8,3.51403,2.81172,95.2107,2.6659,
1973.68,3.59839,2.88805,97.116,2.71925,
2613.33,5.07718,4.23249,142.372,3.98643,
2230.46,4.33987,3.61407,122.161,3.42052,
2343.12,3.31675,2.70994,168.147,4.7081,
3295.56,6.05185,4.84212,162.005,4.53615,
2439.26,4.79423,3.97297,130.326,3.64913,
2533.77,3.68197,2.97584,178.569,4.99992,
2510.47,3.72066,3.10964,185.508,5.19422,
2304.79,4.25534,3.43808,116.262,3.25535,
2578.99,5.40094,4.56767,146.931,4.11407,
2242.55,4.28051,3.53988,120.263,3.36735,
1627.78,3.14287,2.61743,87.9965,2.4639,
1691.39,2.9607,2.32476,69.3856,1.9428,
1457.27,2.53929,1.99141,59.5339,1.66695,
1546.34,2.69354,2.10891,63.0907,1.76654,
1670.87,2.90363,2.25525,67.0916,1.87856,
1932.29,3.34448,2.60308,77.5887,2.17248,
2129.77,3.68435,2.86548,85.2879,2.38806,
1913.68,3.28116,2.49163,81.272,2.27562,
1751.26,3.00691,2.28121,74.3734,2.08246,
2009.38,3.44406,2.61232,85.1819,2.38509,
1635.67,2.82953,2.1967,65.4739,1.83327,
1494.2,2.56628,1.96058,63.4952,1.77787,
1563,2.68371,2.04199,66.4192,1.85974,
1731.59,2.98298,2.28072,74.0743,2.07408,
1923.68,3.3348,2.59085,77.2367,2.16263,
2016.74,3.49975,2.7218,80.7771,2.26176,
1843.41,3.1966,2.49045,73.8373,2.06744,
1703.64,2.9514,2.29738,68.2025,1.90967,
1840.57,3.18928,2.47929,73.6987,2.06356,
1782.6,3.09796,2.40314,71.8847,2.01277,
1840.1,3.19337,2.4827,74.1432,2.07601,
1628.54,2.82271,2.19599,65.6079,1.83702,
1335.22,2.31103,1.79257,53.1873,1.48924,
1657.39,2.86693,2.21814,65.6873,1.83924,
1710.57,2.95331,2.29899,68.2655,1.91144,
2055.61,3.52427,2.67016,86.7685,2.42952,
1812.1,3.10473,2.35066,76.3057,2.13656,
