value,probability
0,0.3207909002623796
5,0.05065059663228762
18,0.008907049715752346
7,0.03304289615493046
16,0.011573005656357839
13,0.015073355948010927
4,0.05453771583446584
14,0.013591902708738814
10,0.02232591458016143
12,0.01736794041339181
3,0.04691928481112663
6,0.039876791189147595
25,0.004887585891110071
22,0.006711448763017706
24,0.005531711934515441
20,0.00753007907316238
30,0.00405245832885769
15,0.012440761117223241
21,0.007376471325759506
19,0.008997234693941146
85,0.00031014833962489646
80,0.0003842026713083824
89,0.0003570738567312638
90,0.0002885186090836803
88,0.0003284786197445712
71,0.000588401991841559
31,0.003329145475335325
45,0.0015976672152308497
40,0.0024001668788702097
51,0.0009913015488720095
32,0.003670821896766062
42,0.0020133979683450726
41,0.0024162975253755234
69,0.000682619631656687
62,0.0006782203644279651
44,0.0018011333245592392
33,0.0031058826634776868
56,0.0008428262799026442
28,0.0043138481233642514
38,0.002357640628992564
74,0.0007409099224372527
67,0.0006111315391899556
109,0.0002456257536036414
84,0.00032737880293739075
81,0.0003699050528150361
78,0.00041279790829507496
77,0.0005055491257006292
87,0.0002932844819147957
79,0.00040216634582566365
73,0.0006943510109332789
82,0.00037430432004375804
70,0.0005968339206966093
99,0.0002896184258908608
98,0.0002690885121568251
76,0.0005227795890131233
93,0.00027092154016879254
92,0.0002826529194453844
83,0.00035120816709296787
96,0.0002606565833017747
91,0.0003211465076967013
86,0.0003277454085397842
106,0.00021849693902652282
127,0.00011841360957309878
122,0.00013564407288559302
214,5.609065716620468e-05
134,0.00012794535523532965
117,0.00017523747794409044
135,0.00012464590481378818
186,0.00010118314626060452
120,0.00013601067848798652
220,8.065323252656883e-05
27,0.004287819125594314
66,0.0007207466143056105
35,0.002573204723199939
49,0.0011133812144690433
54,0.0008926846418281594
59,0.0007042493621979033
58,0.0008013998468321793
52,0.0009660057623068584
50,0.0010719547813985784
48,0.0011731379276591829
9,0.02485072736384543
8,0.030228831550957996
23,0.0055716719451763316
168,8.468589415289727e-05
105,0.00019466757487094567
34,0.002780703494154657
97,0.00024269290878449346
95,0.00027348777938554703
123,0.0001228128768018207
179,0.00010521580788693297
129,0.00012721214403054265
43,0.0017978338741376978
11,0.02125799246038918
46,0.0014924514073439167
57,0.0007453091896659746
29,0.004460123758719256
63,0.0006452258602125506
133,0.00012684553842814915
37,0.002354341178571023
138,0.00010448259668214597
60,0.0006859190820782285
17,0.009962507245043217
103,0.0002470921760132154
