0,long,lat,population,type
27053,-7.448422590358037,53.828399798254445,427,1
17022,-6.560607650834701,52.86713590062549,1117,0
17023,-6.62653115829603,52.85004788857576,296,0
17029,-6.753213472701351,52.86642028663171,343,0
17038,-6.7166188206243165,52.893004126766634,729,0
17042,-6.670865251806966,52.886973131644176,875,0
17048,-6.6203659125002465,52.88714325784909,332,0
17053,-6.679184171393894,52.85380924804879,283,0
17001,-6.908691213376468,52.73606725418809,395,0
17002,-6.9238403407688445,52.80335672821487,1025,0
17003,-6.6877290215133955,52.75013308721447,562,0
177065,-7.045496693905682,54.37985023067643,220,17
177066,-7.144671975107001,54.30597593404577,657,17
177068,-7.044978421636747,54.30001603514962,922,17
177069,-6.902803441057935,54.26992539927996,889,17
177070,-6.8897507003536544,54.168298443499715,648,17
17011,-6.9277088453873,52.83720516203692,4560,0
17054,-6.93919654581262,52.83782968205127,1405,0
17014,-6.581513671486249,52.82910578759546,526,0
17008,-6.92503471834677,52.601310019141735,1051,0
17009,-6.845149142296912,52.860348237838025,525,0
17010,-6.912423911599333,52.84422066523202,14546,0
17012,-6.994990429666388,52.79215222823972,1038,0
17035,-6.776037145264846,52.6732104657425,593,0
17036,-6.9219646647635065,52.766452109048664,855,0
17037,-7.03391004584176,52.733297471283905,576,0
17039,-6.819632338612406,52.622607032632274,122,0
17040,-7.017972757780785,52.77040460840092,445,0
17013,-6.666990003496054,52.70112112960812,1001,0
17016,-6.895969323041552,52.6616697571485,537,0
17017,-6.718098333840452,52.6642206144982,1103,0
17018,-6.851845229984253,52.7207536805735,781,0
17019,-6.82678421263733,52.66665875587677,580,0
17021,-6.794110012208678,52.817407395931205,465,0
17024,-6.850250608201266,52.83083563771711,589,0
17025,-6.857141911911519,52.7938707288992,974,0
17026,-6.7302748393478256,52.73782363847483,438,0
17027,-6.867982288239596,52.619429606715634,405,0
17028,-6.806502925662439,52.847005080511806,373,0
17031,-6.984654826306021,52.712563562275115,1641,0
17033,-6.932562963480985,52.703890715747825,654,0
17034,-6.9626408513890965,52.701596044952524,2752,0
17004,-6.770127168618717,52.72935409647921,717,0
17005,-6.948057435517352,52.62993816751823,425,0
17006,-6.8973928665344255,52.69262102583115,344,0
268008,-6.183205401640941,53.394593250608885,5639,5
268009,-6.2452332778438375,53.359137399016056,3718,5
268010,-6.254224507085767,53.36044672445822,3698,5
268012,-6.292222213518363,53.385246297282436,3606,5
268013,-6.284456686690947,53.38731902743821,1887,5
268011,-6.271726466669631,53.38499622781078,3521,5
268014,-6.281661552614568,53.380942258248695,2531,5
268015,-6.284083776021889,53.40107431927576,4765,5
268016,-6.272108731417396,53.40153974352106,4379,5
268017,-6.25805104358305,53.395915654633775,6112,5
268018,-6.268995974135711,53.39486148251883,2458,5
268019,-6.273933464798387,53.392128713349855,1562,5
268020,-6.284144959108672,53.3939477058924,2350,5
268021,-6.23577767374103,53.39016873431029,2463,5
268022,-6.223405995685518,53.388663985276736,4962,5
268023,-6.209622007290968,53.385366109549295,3242,5
268024,-6.217386497514716,53.381239931892374,2135,5
268025,-6.223521057555336,53.3786799035077,2051,5
268026,-6.230796902564986,53.38265286692961,3590,5
17041,-6.795556819015862,52.75969019895406,1110,0
17043,-7.064428674863885,52.75121288560757,292,0
17044,-6.778445671041185,52.70560277872109,513,0
17045,-6.952202300175051,52.65739847629407,506,0
17046,-6.723719248810031,52.833407559598996,437,0
17047,-6.849845314818127,52.75793700034197,419,0
17052,-6.765061802842231,52.79278633181235,622,0
17050,-6.721365143654532,52.80035909163978,846,0
17051,-6.736715550799871,52.80287844995879,3978,0
17007,-6.848090159386141,52.54451591637444,275,0
17015,-6.812291267078451,52.57623354621675,208,0
17020,-6.885396504697024,52.491921075738986,379,0
17030,-6.876845798024888,52.58067461292751,320,0
17032,-6.897957935950196,52.54137727456651,401,0
17049,-6.923106061438755,52.519191218111,648,0
268001,-6.27416402502041,53.3585526727865,1785,5
268002,-6.279879683609622,53.354662474424835,4166,5
268003,-6.281975530217442,53.348122384809756,4471,5
268004,-6.292535565335399,53.351114203407015,3109,5
268005,-6.287892303392546,53.35340254034138,3293,5
268006,-6.318392698347299,53.3731155727544,10566,5
268007,-6.318090200809401,53.36629840306482,2643,5
268041,-6.180889961883724,53.37413685706799,3438,5
268042,-6.171421138198194,53.36361076822683,7107,5
268043,-6.200821023870029,53.364120584930596,3183,5
268044,-6.209416886269367,53.365535185112776,2766,5
268045,-6.198962767250176,53.37255042009224,1791,5
268046,-6.204582921745389,53.377929126409214,3658,5
268047,-6.213499290355438,53.37462945915892,2411,5
268048,-6.218643788265188,53.36804614853615,3659,5
268049,-6.231848161220135,53.3627238133868,2297,5
268124,-6.158001666268181,53.38348405851373,2488,5
268125,-6.151844659004284,53.386453857680465,2169,5
268126,-6.146287876490711,53.3769749872688,3672,5
268138,-6.260776387934342,53.35525739819116,5965,5
268139,-6.266136696172803,53.35236933807078,2458,5
268157,-6.256557244863586,53.38206122176148,3286,5
268158,-6.25258454576713,53.388034121308635,4128,5
268159,-6.246045040043445,53.393870333857876,2153,5
268160,-6.241956398042152,53.381433597473354,3456,5
268037,-6.344231194054288,53.347070149731714,3056,5
268038,-6.37928121149726,53.33932741661784,3254,5
268039,-6.363389846243246,53.34058450933779,2836,5
268040,-6.366981200603564,53.33384779133027,4545,5
268051,-6.321739501167543,53.33270759390928,3714,5
268052,-6.305921708394106,53.332124494194346,2968,5
268053,-6.292618265202916,53.329499057715786,2331,5
268054,-6.308156753845558,53.32572974029272,4089,5
268055,-6.315998349725501,53.32979544925147,2793,5
268050,-6.235045240552885,53.36862241065677,2468,5
268058,-6.24595786970479,53.369295627737515,5064,5
268059,-6.251061272965631,53.36431022940261,1697,5
268060,-6.258676440697328,53.37359842964539,3517,5
268062,-6.184651582819668,53.38675960185918,2836,5
268063,-6.314554586595569,53.39571116194978,3319,5
268064,-6.306657241146115,53.392372711113,2874,5
268065,-6.2974271841103295,53.39533329065264,3464,5
268066,-6.313505716229904,53.38687015175452,2904,5
268067,-6.297776047155761,53.381316977471855,4206,5
268068,-6.307094677325866,53.38135064590012,2645,5
268069,-6.316249493705742,53.38134532368898,2427,5
268070,-6.231666089380095,53.37473823558493,5806,5
268071,-6.1703261686474775,53.400724202658,9696,5
268072,-6.156178660369234,53.40235808854281,5326,5
268073,-6.159933780107587,53.39340986766877,3082,5
268074,-6.167922674614046,53.387007331250175,4005,5
268075,-6.176008008173642,53.38813783908892,2680,5
268076,-6.196023924229682,53.38589838828257,2808,5
268077,-6.191977570573529,53.38098355681002,2758,5
268080,-6.2658997039305975,53.3607967245646,3919,5
268081,-6.269074807494805,53.356600447413996,3666,5
268082,-6.27218720827707,53.349482049370124,2757,5
268088,-6.231732135018982,53.39708362862901,3660,5
268089,-6.220038932248753,53.39477067560871,2681,5
268086,-6.205363779942278,53.39402963444995,1490,5
268087,-6.207392090070288,53.3904918264175,2032,5
268104,-6.251808462647571,53.353400626147895,5389,5
268105,-6.256013102974762,53.35712031615411,3963,5
268106,-6.262138166694265,53.34911140074349,5654,5
268107,-6.239871046863979,53.35800681204693,1365,5
268108,-6.218695076403097,53.351328948963264,7695,5
268109,-6.245713054267748,53.35074954735214,4214,5
268118,-6.328081197329924,53.35713621332187,1534,5
268121,-6.218213126735724,53.40499885724269,1618,5
