,long,lat,population,commuters
0,52.90211736,-7.36873021,2780,1553
1,52.82377829,-7.43166567,375,236
2,53.03375951,-7.61707706,279,172
3,52.82352932,-7.05093355,345,213
4,52.90010097,-7.02901867,421,256
5,52.86143924,-7.01012067,651,349
6,52.87478384,-7.29374191,826,484
7,52.97957294,-7.07322897,427,289
8,53.11495361,-7.17382461,1283,781
9,52.90097323,-7.61725076,192,122
10,53.04803097,-7.21354414,337,209
11,53.06036322,-7.42857621,661,389
12,52.90843960000001,-7.08611734,166,89
13,52.950034200000005,-7.0599348,1455,846
14,52.95705675,-7.302935799999999,1071,660
15,52.96050636,-7.01343117,484,287
16,52.92019429,-7.26448213,306,173
17,53.06922481,-7.31726202,1686,895
18,52.92741444,-7.60701494,832,409
19,53.07507322,-7.48237592,321,192
20,52.9655417,-7.60156582,98,54
21,53.18963868,-7.39323695,340,218
22,53.05801571,-7.58835769,171,116
23,53.13982619,-7.58963558,399,214
24,52.96136787,-7.54210478,775,418
25,52.92630375,-7.43057402,370,219
26,53.14225043,-7.527563799999999,939,506
27,53.03239013,-7.352459599999999,1872,1102
28,53.00410423,-7.52150807,227,134
29,52.99632643,-7.35874291,668,455
30,52.87959639,-7.68037992,211,112
31,52.96469616,-7.33924804,174,100
32,52.99108358,-7.56538822,300,161
33,52.90965903,-7.47181242,332,218
34,52.81159149,-7.48861411,359,234
35,52.96919469,-7.25781148,144,91
36,53.01503678,-7.10408055,266,162
37,53.12358056,-7.28499877,1660,906
38,52.87323000000001,-7.58208772,260,144
39,52.957347,-7.47945367,456,284
40,52.87487449,-7.12881628,771,388
41,52.87115764,-7.39030427,269,173
42,52.83970094,-7.38085721,1258,763
43,52.89605951,-7.22977627,255,159
44,53.10501422,-7.19590419,1252,672
45,52.84349829,-7.68627893,407,245
46,52.89515729,-7.06684925,186,112
47,52.93705784,-7.19262579,167,101
48,53.17701835,-7.35518913,235,162
49,53.14266277,-7.33873176,183,73
50,52.84190834,-6.976584299999999,4786,2788
51,52.87964431,-7.51946297,368,251
52,53.12160849,-7.11091349,465,288
53,52.90398100000001,-7.57138808,134,91
54,53.01027107,-7.25248918,642,428
55,52.91569084,-7.53064755,280,170
56,52.90963457,-6.9707988,433,266
57,52.87259052,-7.45455355,349,188
58,53.15386469,-7.11267158,564,355
59,53.06041014,-7.17282628,267,167
60,52.83447488,-7.50177398,309,181
61,52.96613409,-7.68400371,235,116
62,52.80904562,-7.64233072,291,158
63,53.05222587,-7.53768928,256,158
64,52.93779062,-7.12669805,300,198
65,52.9924338,-7.61552108,138,87
66,53.13983737,-7.41685312,419,241
67,52.90293218,-7.66676108,150,100
68,52.94898842,-7.66429114,138,84
69,53.10665106,-7.3323277000000004,974,594
70,53.11695153,-7.32885034,2994,1484
71,53.00533819,-7.46312367,2378,1133
72,53.05881398,-7.12474241,380,249
73,53.00982083,-7.66282229,89,54
74,52.84310616,-7.11086458,306,178
75,53.08634672,-7.37297353,492,292
76,53.15321577,-7.18583013,7138,4180
77,53.03093541,-7.287920599999999,16105,8529
78,53.03510706,-7.29894683,3878,1953
79,52.95465335,-7.40071953,465,315
80,52.91794002,-7.11042243,239,139
81,52.83272067,-7.56979285,1206,609
82,52.85737903,-7.62881818,591,329
83,53.16578772,-7.44604013,286,167
84,53.11297098,-7.42354644,425,233
85,52.82158974,-7.00200883,455,280
86,53.08814611,-7.09321799,572,362
87,53.08380681,-7.26126662,922,568
88,52.88270281,-6.96882792,305,178
89,53.02373076,-7.16148245,1807,992
90,52.93869413,-7.00457609,368,234
91,52.95913175,-7.21430265,590,390
92,52.98913446,-7.17646169,356,222
93,53.11988662,-7.49800534,165,92
94,53.00047627,-7.40942845,231,138
95,52.86903073,-7.06492761,362,209
96,53.05021063,-7.08179105,192,110
97,54.08006789,-7.94311738,77,48
98,54.39240453,-8.30621132,223,119
99,53.9697007,-7.72712983,322,173
100,53.91690747,-7.973122999999999,225,136
101,54.36216357,-8.1056791,195,89
102,54.05345073,-7.82180461,1107,588
103,54.08674357,-8.00547185,147,83
104,53.84146455,-7.81293014,332,168
105,54.21479294,-8.19464338,239,110
106,53.96960601,-7.88871864,253,137
107,53.95806337,-7.93870929,153,90
108,53.94332676,-8.06780255,4080,2162
109,53.96684556,-7.61868378,300,153
110,53.98075903,-7.67755603,563,322
111,53.86254393,-7.87453586,170,97
112,54.03616924,-7.8953850999999995,260,139
113,53.8893657,-7.76287495,237,115
114,54.27296773,-8.01239347,178,97
115,53.943567599999994,-7.76317738,336,192
116,54.25778702,-8.20118393,285,168
117,54.09227859999999,-7.77610728,345,153
118,54.01382658,-7.69456188,246,146
119,53.92908463,-7.70594606,142,84
120,54.22429264,-8.27932107,1524,889
121,53.88553056,-7.88808341,206,127
122,54.17267373,-8.12927554,465,254
123,53.87876941,-7.94675771,869,485
124,54.13777382,-7.967295699999999,167,87
125,54.03253514,-7.73913573,158,80
126,54.01578014,-7.77459233,146,66
127,54.04030401,-8.05184119,1389,728
128,53.95272694,-7.98396757,685,386
129,53.9289076,-7.91551127,303,141
130,54.01629474,-7.84487339,392,225
131,54.05669920000001,-7.74150335,530,265
132,54.16105055,-8.21236453,180,75
133,54.35095844,-8.26873502,172,95
134,54.36983432,-8.18264559,167,79
