From LGD,From LGD Code,To LGD,To LGD Code,No of Commuters
95AA - ANTRIM,95AA,95AA - ANTRIM,95AA,9465
95AA - ANTRIM,95AA,95BB - ARDS,95BB,107
95AA - ANTRIM,95AA,95CC - ARMAGH,95CC,42
95AA - ANTRIM,95AA,95DD - BALLYMENA,95DD,1485
95AA - ANTRIM,95AA,95EE - BALLYMONEY,95EE,35
95AA - ANTRIM,95AA,95FF - BANBRIDGE,95FF,18
95AA - ANTRIM,95AA,95GG - BELFAST,95GG,4538
95AA - ANTRIM,95AA,95HH - CARRICKFERGUS,95HH,139
95AA - ANTRIM,95AA,95II - CASTLEREAGH,95II,282
95AA - ANTRIM,95AA,95JJ - COLERAINE,95JJ,108
95AA - ANTRIM,95AA,95KK - COOKSTOWN,95KK,73
95AA - ANTRIM,95AA,95LL - CRAIGAVON,95LL,171
95AA - ANTRIM,95AA,95MM - DERRY,95MM,42
95AA - ANTRIM,95AA,95NN - DOWN,95NN,33
95AA - ANTRIM,95AA,95OO - DUNGANNON,95OO,39
95AA - ANTRIM,95AA,95PP - FERMANAGH,95PP,8
95AA - ANTRIM,95AA,95QQ - LARNE,95QQ,187
95AA - ANTRIM,95AA,95RR - LIMAVADY,95RR,15
95AA - ANTRIM,95AA,95SS - LISBURN,95SS,669
95AA - ANTRIM,95AA,95TT - MAGHERAFELT,95TT,407
95AA - ANTRIM,95AA,95UU - MOYLE,95UU,14
95AA - ANTRIM,95AA,95VV - NEWRY & MOURNE,95VV,68
95AA - ANTRIM,95AA,95WW - NEWTOWNABBEY,95WW,1442
95AA - ANTRIM,95AA,95XX - NORTH DOWN,95XX,142
95AA - ANTRIM,95AA,95YY - OMAGH,95YY,4
95AA - ANTRIM,95AA,95ZZ - STRABANE,95ZZ,2
95AA - ANTRIM,95AA,Mainly work at or from home,95AA,2695
95AA - ANTRIM,95AA,Offshore installation,95AA,34
95AA - ANTRIM,95AA,No fixed place,95AA,3163
95AA - ANTRIM,95AA,Outside UK,95AA,71
95BB - ARDS,95BB,95AA - ANTRIM,95AA,271
95BB - ARDS,95BB,95BB - ARDS,95BB,9384
95BB - ARDS,95BB,95CC - ARMAGH,95CC,71
95BB - ARDS,95BB,95DD - BALLYMENA,95DD,83
95BB - ARDS,95BB,95EE - BALLYMONEY,95EE,6
95BB - ARDS,95BB,95FF - BANBRIDGE,95FF,33
95BB - ARDS,95BB,95GG - BELFAST,95GG,8492
95BB - ARDS,95BB,95HH - CARRICKFERGUS,95HH,80
95BB - ARDS,95BB,95II - CASTLEREAGH,95II,2875
95BB - ARDS,95BB,95JJ - COLERAINE,95JJ,19
95BB - ARDS,95BB,95KK - COOKSTOWN,95KK,10
95BB - ARDS,95BB,95LL - CRAIGAVON,95LL,138
95BB - ARDS,95BB,95MM - DERRY,95MM,23
95BB - ARDS,95BB,95NN - DOWN,95NN,526
95BB - ARDS,95BB,95OO - DUNGANNON,95OO,35
95BB - ARDS,95BB,95PP - FERMANAGH,95PP,10
95BB - ARDS,95BB,95QQ - LARNE,95QQ,36
95BB - ARDS,95BB,95RR - LIMAVADY,95RR,4
95BB - ARDS,95BB,95SS - LISBURN,95SS,562
95BB - ARDS,95BB,95TT - MAGHERAFELT,95TT,14
95BB - ARDS,95BB,95UU - MOYLE,95UU,1
95BB - ARDS,95BB,95VV - NEWRY & MOURNE,95VV,93
95BB - ARDS,95BB,95WW - NEWTOWNABBEY,95WW,550
95BB - ARDS,95BB,95XX - NORTH DOWN,95XX,3572
95BB - ARDS,95BB,95YY - OMAGH,95YY,5
95BB - ARDS,95BB,95ZZ - STRABANE,95ZZ,2
95BB - ARDS,95BB,Mainly work at or from home,95BB,3518
95BB - ARDS,95BB,Offshore installation,95BB,67
95BB - ARDS,95BB,No fixed place,95BB,5031
95BB - ARDS,95BB,Outside UK,95BB,87
95CC - ARMAGH,95CC,95AA - ANTRIM,95AA,125
95CC - ARMAGH,95CC,95BB - ARDS,95BB,100
95CC - ARMAGH,95CC,95CC - ARMAGH,95CC,9169
