Electoral Division,CENTROID_X,CENTROID_Y,Population
27053 - KILCOGY,636312,786685,427
17022 - HACKETSTOWN,696913,680552,1117
17023 - HAROLDSTOWN,692511,678564,296
17029 - KINEAGH,683947,680230,343
17038 - RAHILL,686358,683231,729
17042 - RATHVILLY,689449,682616,875
17048 - TIKNOCK,692847,682699,332
17053 - WILLIAMSTOWN,688957,678916,283
17001 - AGHA,673699,665557,395
17002 - BALLINACARRIG,672564,673028,1025
17003 - BALLINTEMPLE,688592,667371,562
177065 - SHANMULLAGH,662009,848333,220
177066 - SHESKIN,655666,840029,657
177068 - TEDAVNET,662163,839449,922
177069 - TEHALLAN,671469,836235,889
177070 - TULLYCORBET,672497,824939,648
17011 - CARLOW URBAN,672247,676790,4560
17054 - GRAIGUE URBAN,671472,676848,1405
17014 - CLONMORE,695589,676293,526
17008 - BORRIS,672819,650548,1051
17009 - BURTON HALL,677768,679451,525
17010 - CARLOW RURAL,673265,677586,14546
17012 - CLOGRENAN,667784,671712,1038
17035 - MYSHALL,682776,658708,593
17036 - NURNEY,672752,668924,855
17037 - OLDLEIGHLIN,665247,665128,576
17039 - RATHANNA,679920,653029,122
17040 - RATHORNAN,666267,669271,445
17013 - CLONEGALL,690093,661944,1001
17016 - CORRIES,674685,657293,537
17017 - CRANEMORE,686712,657776,1103
17018 - FENNAGH,677565,663913,781
17019 - GARRYHILL,679356,657922,580
17021 - GRANGEFORD,681285,674730,465
17024 - JOHNSTOWN,677477,676162,589
17025 - KELLISTOWN,677078,672042,974
17026 - KILBRIDE,685744,665950,438
17027 - KILLEDMOND,676652,652623,405
17028 - KILLERRIG,680395,678009,373
17031 - LEIGHLINBRIDGE,668606,662867,1641
17033 - MUINEBEAG RURAL,672140,661953,654
17034 - MUINEBEAG URBAN,670111,661668,2752
17004 - BALLON,683069,664961,717
17005 - BALLYELLIN,671213,653710,425
17006 - BALLYMOON,674536,660735,344
268008 - AYRFIELD,720832,739809,5639
268009 - BALLYBOUGH A,716804,735761,3718
268010 - BALLYBOUGH B,716202,735892,3698
268012 - BALLYGALL A,713607,738590,3606
268013 - BALLYGALL B,714118,738833,1887
268011 - BALLYGALL C,714971,738595,3521
268014 - BALLYGALL D,714321,738128,2531
268015 - BALLYMUN A,714106,740364,4765
268016 - BALLYMUN B,714901,740435,4379
268017 - BALLYMUN C,715851,739832,6112
268018 - BALLYMUN D,715126,739697,2458
268019 - BALLYMUN E,714805,739385,1562
268020 - BALLYMUN F,714121,739571,2350
268021 - BEAUMONT A,717348,739229,2463
268022 - BEAUMONT B,718175,739082,4962
268023 - BEAUMONT C,719101,738738,3242
268024 - BEAUMONT D,718596,738266,2135
268025 - BEAUMONT E,718195,737971,2051
268026 - BEAUMONT F,717700,738401,3590
17041 - RATHRUSH,681295,668307,1110
17043 - RIDGE,663160,667094,292
17044 - SHANGARRY,682552,662309,513
17045 - SLIGUFF,670888,656761,506
17046 - TANKARDSTOWN,685998,676592,437
17047 - TEMPLEPETER,677634,668052,419
17052 - TULLOWBEG,683290,672024,622
17050 - TULLOW RURAL,686222,672918,846
17051 - TULLOW URBAN,685182,673180,3978
17007 - BALLYMURPHY,678132,644310,275
17015 - COONOGUE,680502,647878,208
17020 - GLYNN,675692,638419,379
17030 - KYLE,676119,648302,320
17032 - MARLEY,674755,643908,401
17049 - TINNAHINCH,673086,641414,648
268001 - ARRAN QUAY A,714880,735649,1785
268002 - ARRAN QUAY B,714510,735207,4166
268003 - ARRAN QUAY C,714388,734476,4471
268004 - ARRAN QUAY D,713677,734792,3109
268005 - ARRAN QUAY E,713980,735054,3293
268006 - ASHTOWN A,711898,737199,10566
268007 - ASHTOWN B,711936,736441,2643
268041 - CLONTARF EAST A,721044,737537,3438
268042 - CLONTARF EAST B,721704,736382,7107
268043 - CLONTARF EAST C,719746,736389,3183
268044 - CLONTARF EAST D,719170,736532,2766
268045 - CLONTARF EAST E,719846,737330,1791
268046 - CLONTARF WEST A,719457,737919,3658
268047 - CLONTARF WEST B,718873,737537,2411
268048 - CLONTARF WEST C,718549,736796,3659
268049 - CLONTARF WEST D,717685,736182,2297
268124 - RAHENY-FOXFIELD,722540,738616,2488
268125 - RAHENY-GREENDALE,722941,738957,2169
268126 - RAHENY-St. ASSAM,723338,737912,3672
268138 - ROTUNDA A,715780,735304,5965
268139 - ROTUNDA B,715431,734974,2458
268157 - WHITEHALL A,715988,738293,3286
268158 - WHITEHALL B,716236,738964,4128
268159 - WHITEHALL C,716655,739624,2153
268160 - WHITEHALL D,716961,738247,3456
268037 - CHAPELIZOD,710246,734261,3056
268038 - CHERRY ORCHARD A,707932,733346,3254
268039 - CARNA,708987,733510,2836
268040 - CHERRY ORCHARD C,708765,732755,4545
268051 - CRUMLIN A,711781,732698,3714
268052 - CRUMLIN B,712836,732658,2968
268053 - CRUMLIN C,713729,732387,2331
268054 - CRUMLIN D,712704,731943,4089
268055 - CRUMLIN E,712171,732383,2793
268050 - CLONTARF WEST E,717456,736833,2468
268058 - DRUMCONDRA SOUTH A,716728,736890,5064
268059 - DRUMCONDRA SOUTH B,716402,736327,1697
268060 - DRUMCONDRA SOUTH C,715870,737348,3517
268062 - EDENMORE,720758,738935,2836
268063 - FINGLAS NORTH A,712094,739719,3319
268064 - FINGLAS NORTH B,712628,739360,2874
268065 - FINGLAS NORTH C,713234,739704,3464
268066 - FINGLAS SOUTH A,712187,738737,2904
268067 - FINGLAS SOUTH B,713248,738144,4206
268068 - FINGLAS SOUTH C,712628,738133,2645
268069 - FINGLAS SOUTH D,712019,738118,2427
268070 - GRACE PARK,717664,737519,5806
268071 - GRANGE A,721671,740513,9696
268072 - GRANGE B,722607,740719,5326
268073 - GRANGE C,722383,739717,3082
268074 - GRANGE D,721870,738991,4005
268075 - GRANGE E,721329,739103,2680
268076 - HARMONSTOWN A,720004,738820,2808
268077 - HARMONSTOWN B,720287,738280,2758
268080 - INNS QUAY A,715424,735912,3919
268081 - INNS QUAY B,715224,735440,3666
268082 - INNS QUAY C,715036,734643,2757
268088 - KILMORE A,717598,740005,3660
268089 - KILMORE B,718382,739767,2681
268086 - KILMORE C,719360,739709,1490
268087 - KILMORE D,719235,739312,2032
268104 - MOUNTJOY A,716382,735112,5389
268105 - MOUNTJOY B,716092,735519,3963
268106 - NORTH CITY,715706,734618,5654
268107 - NORTH DOCK A,717164,735644,1365
268108 - NORTH DOCK B,718592,734936,7695
268109 - NORTH DOCK C,716795,734827,4214
268118 - PHOENIX PARK,711295,735406,1534
268121 - PRIORSWOOD A,718475,740908,1618
268122 - PRIORSWOOD B,719736,740799,2728
268119 - PRIORSWOOD C,720496,740729,4854
268120 - PRIORSWOOD D,719883,740027,2756
268123 - PRIORSWOOD E,718983,740398,2839
268027 - BOTANIC A,714798,737393,3174
268028 - BOTANIC B,715589,736715,3481
268029 - BOTANIC C,715500,736300,2222
268030 - CABRA EAST A,714197,736842,5650
268031 - CABRA EAST B,714055,736244,3737
268032 - CABRA EAST C,713885,735625,4085
268033 - CABRA WEST A,712843,737232,1478
268034 - CABRA WEST B,713481,736824,2577
268035 - CABRA WEST C,713272,736268,2953
268036 - CABRA WEST D,713105,735654,2845
268144 - TERENURE A,714238,731154,3741
268145 - TERENURE B,713980,730545,3490
268146 - TERENURE C,713612,729968,1854
268147 - TERENURE D,714018,729538,792
268148 - USHERS A,713173,734025,3930
268149 - USHERS B,714105,734141,1312
268150 - USHERS C,714006,733572,3983
268151 - USHERS D,713566,733159,2188
268152 - USHERS E,713350,733000,1790
268153 - USHERS F,713257,733498,3484
268154 - WALKINSTOWN A,710799,731589,2765
268155 - WALKINSTOWN B,711530,731495,1885
268156 - WALKINSTOWN C,711801,731167,2169
268161 - WOOD QUAY A,715145,733605,2606
268162 - WOOD QUAY B,715110,732781,3414
267006 - BALLINASCORNEY,706506,722803,921
267013 - BALLYBODEN,713001,727314,5028
267142 - TALLAGHT-KILNAMANAGH,709702,729924,4386
268056 - CRUMLIN F,711624,732050,2985
268057 - DECIES,710318,733497,2677
268061 - DRUMFINN,709325,734153,3588
268078 - INCHICORE A,710885,733110,2392
268079 - INCHICORE B,710652,732422,2218
268083 - KILMAINHAM A,711038,733705,2534
268084 - KILMAINHAM B,712026,733894,2414
268085 - KILMAINHAM C,712175,733318,5186
268090 - KIMMAGE A,712545,731504,1944
268091 - KIMMAGE B,713168,731602,3572
268092 - KIMMAGE C,714181,731903,3043
268093 - KIMMAGE D,713464,731105,2462
268094 - KIMMAGE E,712778,730896,3395
268095 - KYLEMORE,709804,733117,2657
268096 - MANSION HOUSE A,716447,734126,4665
268097 - MANSION HOUSE B,716234,733452,1311
268098 - MERCHANTS QUAY A,714737,734069,2513
268099 - MERCHANTS QUAY B,714767,733734,3966
268100 - MERCHANTS QUAY C,714532,733398,3566
268101 - MERCHANTS QUAY D,714609,733062,2185
268102 - MERCHANTS QUAY E,714657,732688,2489
268103 - MERCHANTS QUAY F,714090,732858,2158
268110 - PEMBROKE EAST A,719383,733675,5078
268111 - PEMBROKE EAST B,718540,732937,3818
268112 - PEMBROKE EAST C,719132,732079,3920
268113 - PEMBROKE EAST D,718703,730958,5263
268114 - PEMBROKE EAST E,718263,731962,3902
268115 - PEMBROKE WEST A,717718,733359,4992
268116 - PEMBROKE WEST B,717556,732283,3003
268117 - PEMBROKE WEST C,717006,732747,4852
268127 - RATHFARNHAM,715221,730116,4683
268128 - RATHMINES EAST A,716529,732178,4836
268129 - RATHMINES EAST B,717032,731098,6058
268130 - RATHMINES EAST C,716248,730775,3351
268131 - RATHMINES EAST D,716311,731683,2757
268132 - RATHMINES WEST A,715123,732047,5461
268133 - RATHMINES WEST B,715789,732091,3713
268134 - RATHMINES WEST C,715803,731163,2681
268135 - RATHMINES WEST D,715401,730949,3106
268136 - RATHMINES WEST E,714780,730728,3390
268137 - RATHMINES WEST F,715083,731412,2859
268140 - ROYAL EXCHANGE A,715484,733886,4329
268141 - ROYAL EXCHANGE B,715665,733630,2082
268142 - SAINT KEVIN'S,715757,732874,5122
268143 - SOUTH DOCK,717158,733740,7004
267143 - TALLAGHT-KILTIPPER,708322,725905,8478
267144 - TALLAGHT-KINGSWOOD,708955,728632,3996
267145 - TALLAGHT-MILLBROOK,709714,727007,3386
267146 - TALLAGHT-OLDBAWN,708654,726848,4579
267147 - TALLAGHT-SPRINGFIELD,708080,727885,11012
267148 - TALLAGHT-TYMON,710283,728483,4956
