,S,I,X,R,D
0,6574326.0,2.0,0.0,0.0,0.0
1,6574325.9,2.3342798074623987,0.2,0.2,0.0056
2,6574325.79,2.7245026667888133,0.41286798074623865,0.4534279807462387,0.01269593148851605
3,6574325.179,3.1799876616110025,0.6428749679058801,0.7671641434193777,0.02148058077124896
4,6574323.394899997,3.7116149090490174,0.8947868565245011,1.149451332292598,0.03218458017877991
5,6574321.8617999945,4.332141055080003,1.1739643859209974,1.610090756102003,0.04508257967388001
6,6574320.69079999,5.056408560580005,1.4864951044340022,2.160704949475999,0.06049967979270974
7,6574319.187499981,5.901776081999994,1.8393232728280013,2.8149946124100156,0.07881974584039993
8,6574317.314399971,6.888518228729989,2.240419338362001,3.5891052911230017,0.1004948760188999
9,6574314.702699954,8.040234072389977,2.698955726770015,4.501998986119977,0.1260558404851001
10,6574312.062599938,9.384502384820003,3.2255260036099886,5.5759138223199995,0.15612560627420047
11,6574308.454199931,10.953541794599959,3.8323922782799973,6.836918563370001,0.19143367967700028
12,6574304.18029993,12.784918046900003,4.533776500060031,8.315513411450002,0.23283425525400064
13,6574299.076799923,14.922503595100013,5.346196712280035,10.047381839680027,0.2813266179389987
14,6574293.635399905,17.417484873000003,6.288857335800033,12.07425178355999,0.3380790639490019
15,6574286.26319991,20.3296070589,7.384111483040006,14.444882168500042,0.4044568092070011
16,6574278.489799914,23.728614745499907,8.657985058800017,17.216252479700064,0.482055203288
17,6574268.792899903,27.69590753579998,10.140805739600042,20.454915075299922,0.5727376311729994
18,6574259.262799905,32.32649884309996,11.867921901500024,24.238593779199935,0.6786804456210026
19,6574247.45109995,37.73127525180003,13.880549292799971,28.65802871679997,0.802424874519998
20,6574233.218200042,44.03965965200003,16.22675616769996,33.819215748700024,0.9469380024900007
21,6574216.29340012,51.402719496000145,18.96261304110012,39.845855199399885,1.1156838588399984
22,6574197.551400163,59.99675952299999,22.153527335700016,46.88238361209979,1.3127069366200028
23,6574175.061400175,70.02757114500022,25.87582047340009,55.097411949999874,1.5427277026100055
24,6574149.536400152,81.73531890999999,30.218540701699983,64.68775042200002,1.811257255469997
25,6574119.152800155,95.40032528199986,35.28560681900012,75.88313961400017,2.124727945110002
26,6574084.327100142,111.3497431969997,41.19827924799987,88.95173874100009,2.4906486651600033
27,6574042.833800139,129.9653995109995,48.09807019099993,104.20653712000014,2.917783057870009
28,6573994.5060000755,151.69291044799962,56.15013285299989,122.01289234400039,3.4163608013399935
29,6573938.481500044,177.05235877099992,65.54718848599992,142.79719448600028,3.998321374300001
30,6573873.441000027,206.65067006399977,76.5141722130003,167.0571331420004,4.67760010190001
31,6573796.912100045,241.19618602000025,89.31358167500001,195.37364764200035,5.47046134469999
32,6573707.21960002,281.51550665000144,104.25176667500008,228.42461316400005,6.395888695499994
33,6573603.689500001,328.5732223800005,121.68623568300043,267.0013399190016,7.47603736290002
34,6573481.7746000225,383.49494220999964,142.03420881899947,312.0272690799986,8.736763305199997
35,6573339.8927000025,447.59410494,165.7825966590003,364.5802039799992,10.208245180200004
36,6573173.840800003,522.4033516500003,193.4995648219994,425.9178669100008,11.925699930500036
37,6572981.0798999965,609.7107850700006,225.84813016999954,497.5081268400003,13.930228173200014
38,6572755.124899969,711.6025110499996,263.60202144000004,581.064078440001,16.269792356899945
39,6572492.326799998,830.5124063199986,307.66398967999913,678.5844885400012,19.00036549760008
40,6572185.329399987,969.2794328000034,359.08737122999986,792.4021385000005,22.18726008299998
41,6571826.226199994,1131.2149287699972,419.10112335000014,925.2387365499981,25.906686415000006
42,6571407.821399991,1320.1809167799986,489.1390406799982,1080.2704591599986,30.247574036999907
43,6570920.166400004,1540.6806778,570.8736023699975,1261.2024199199955,35.31366634100007
44,6570350.190800012,1797.965092199996,666.2559291499983,1472.3578755299964,41.22602186699982
45,6569685.347899989,2098.154813199997,777.561369010002,1718.77984368,48.12583839299988
46,6568909.758899991,2448.3838206999994,907.4435434199992,2006.3515592999936,56.17784610600014
47,6568004.401899995,2856.9634961000143,1058.9966741899984,2341.9343398999986,65.57416012200017
48,6566948.782000005,3333.576829800004,1235.8281874399956,2733.530427999993,76.53885205900019
49,6565716.643000024,3889.4979757000096,1442.1426867999994,3190.470747199987,89.33318400699983
50,6564279.760999999,4537.8511737,1682.8402845999992,3723.6349662999996,104.26177867700021
51,6563105.5920999935,4791.006311400008,1963.6294465999924,4345.7042933000275,121.67970883900048
52,6561867.68100001,5058.058638500025,2240.8689227999976,5021.16769510002,140.59268757999936
53,6560560.17079999,5339.745152500011,2516.313440300004,5751.060060300004,161.0296872300001
54,6559180.231999997,5636.839711999999,2791.6108519000054,6536.666408699998,183.02665128000012
55,6557723.381900003,5950.1526211,3068.3171072000077,7379.510877299999,206.62631340000038
