,S,I,X,R,D
0,6574326.0,2.0,0.0,0.0,0.0
1,6574325.87,2.3342270240759135,0.2,0.2,0.0056
2,6574325.74,2.7244068431886954,0.4128627024075905,0.45342270240759047,0.012695835582613025
3,6574325.1,3.1798205293099935,0.6428613549359697,0.7671506466178691,0.02148023413345188
4,6574323.465899997,3.7114293688880005,0.8947575643404994,1.1494185163322037,0.03218369506108498
5,6574321.928799994,4.331916395599991,1.1739185273329027,1.6100362956734022,0.0450809885068699
6,6574320.724799989,5.05613030692,1.486431952248004,2.160624212980996,0.060497378492409895
7,6574319.177299983,5.90147198245999,1.8392396783290044,2.8148737478280044,0.07881654503779996
8,6574317.278299972,6.888144808500021,2.2403124615439993,3.5889466447240004,0.10049058025050006
9,6574314.593899956,8.039798260630002,2.698823517680006,4.50179373868999,0.12605019890119987
10,6574312.080599939,9.383992166269985,3.2253644470899947,5.575652699489988,0.1561183625782996
11,6574308.638299932,10.952935140799973,3.8321957180299937,6.836587680039989,0.19142453361500034
12,6574304.123599932,12.78421078349999,4.533539796250012,8.315101760250014,0.23282289084599953
13,6574299.030899924,14.921670985899992,5.345912450819992,10.04687649967001,0.2813126658640014
14,6574293.674299909,17.41650266150009,6.288520005049995,12.073641020239956,0.3380619029849997
15,6574286.4041999085,20.328459488800146,7.383710718560013,14.444141037199996,0.40443587436700157
16,6574278.323699915,23.727267622099955,8.657510743999994,17.215362262100044,0.48203000389899864
17,6574268.976299898,27.694329256100012,10.140245726199964,20.4538335458001,0.5727073310309991
18,6574259.3480998995,32.32465345210012,11.86726219780003,24.237292217199983,0.6786441684069997
19,6574247.3693999555,37.72911456549997,13.87977221399999,28.65647944959997,0.8023815517800015
20,6574233.254400037,44.03713542300008,16.225842075099983,33.81736810339993,0.946886410060002
21,6574216.199900108,51.399768264999835,18.961540977999984,39.843668176800094,1.1156227788700046
22,6574197.607400162,59.99331829800005,22.152269452000034,46.87980209360004,1.3126344925000009
23,6574174.77760018,70.02355166699995,25.874348551399947,55.09436018899999,1.5426421802699977
24,6574149.591500154,81.73062923700027,30.21682199850001,64.68414573699994,1.8111561638900007
25,6574119.076900161,95.39484260599959,35.28359588299994,75.87889459399982,2.1246090429200044
26,6574084.076500143,111.34334178499968,41.195926521999844,88.94674213499954,2.4905086883200003
27,6574042.547100145,129.9579105899999,48.095318061000064,104.20066072200031,2.9176185991499994
28,6573994.733600069,151.68416275600015,56.14691099999983,122.00598950900002,3.4161677609000156
29,6573938.670000047,177.04213809599955,65.54342416099985,142.78909665799918,3.9980946431999955
30,6573873.380600029,206.6387543140001,76.50977179400014,167.04765292400043,4.677334314399995
31,6573796.749900043,241.18224824000023,89.30844752800006,195.36250284300053,5.470150019199995
32,6573707.095500026,281.4992172399999,104.24575937199988,228.41157962099936,6.395524046499982
33,6573603.636499996,328.55414993000113,121.67921752699971,266.98607248800016,7.475609950200009
34,6573481.85240002,383.4726771699999,142.02600426199967,312.0093904999995,8.736263807199991
35,6573339.920800005,447.56809922000053,165.77299966400028,364.5592719400008,10.207659704499966
36,6573174.271500011,522.3729584800005,193.48836091899955,425.8934077000001,11.925014975899993
37,6572981.0847000005,609.6752151400017,225.83505280000062,497.47949228000004,13.929426132000009
38,6572755.35489997,711.5609312900011,263.58671717999925,581.0305502700016,16.268854649299968
39,6572492.502500004,830.4637986200013,307.6460870700017,678.5453449399978,18.999268058299982
40,6572185.481799969,969.2226166700027,359.0664621699992,792.3562583800008,22.185977392000012
