,ANTRIM
0,0.0002868954094000001
1,0.001250870845100001
2,0.0029826471650000012
3,0.005983154720000007
4,0.01008546328000001
5,0.015894120720000005
6,0.02390346588000002
7,0.03482064834000001
8,0.04906400981000005
9,0.06797282200000002
10,0.09251031779999995
11,0.12412347350000003
12,0.16417848399999993
13,0.21506454559999993
14,0.27906369929999997
15,0.3586446099
16,0.45825937790000004
17,0.5828044981
18,0.7362299429999996
19,0.9239404010000006
20,1.1535935240000008
21,1.4357703710000025
22,1.7796767700000005
23,2.1965901669999996
24,2.7042840760000013
25,3.321024363999996
26,4.064095685000001
27,4.962297789000003
28,6.042421230000001
29,7.3444835200000025
30,8.905697389999993
31,10.775263280000004
32,13.011578910000003
33,15.68980840000001
34,18.89719903999999
35,22.709818369999983
36,27.262591890000007
37,32.670070549999984
38,39.11032914999999
39,46.78978959999997
40,55.89033559999997
41,66.67975319999994
42,79.47938989999996
43,94.5984992
44,112.55049909999995
45,133.7727632
46,158.8878271000001
47,188.57320079999977
48,223.58859999999993
49,264.96106429999986
50,290.46554739999965
51,316.32044660000014
52,342.6435941999998
53,369.6547846999999
54,397.26026629999956
55,425.8746126
56,455.15278650000005
57,485.9060255999995
58,517.7704980999997
59,550.7856130999996
60,585.2475815999993
61,621.0307690000001
62,658.5157569999998
63,697.6874429999992
64,738.7355549999992
65,699.1067029999996
66,661.4117790000003
67,625.6728609999994
68,591.7347876
69,559.5659163000001
70,529.0527905
71,500.1334432000003
72,472.7485652
73,446.8143523
74,422.2633213000002
75,399.01910399999974
76,377.02111110000016
77,356.21012340000016
78,336.52151539999994
79,317.8995096
80,300.29410940000014
81,283.64574269999986
82,267.9056848000003
83,253.02588689999982
84,238.96336280000006
85,225.67423369999983
86,213.11519730000015
87,201.24923429999996
88,190.03794149999993
89,179.4460952
90,169.44063109999996
91,159.98865630000026
92,151.06094530000013
93,142.6283112000001
94,134.6639699
95,127.14217879999995
96,120.0386107
97,113.33031729999992
98,106.9955222999999
99,101.01357719999992
100,95.36498050000009
101,90.03134379999997
102,84.99516049999994
103,80.2400215
104,75.75022849999995
105,71.5111696
106,67.50888779999998
107,63.73015769999999
108,60.16258310000003
109,56.79444833999998
110,53.614515210000015
111,50.612365299999986
112,47.77811652999996
113,45.10239868000007
114,42.576410109999934
115,40.19177034
116,37.94055697999999
117,35.81528894999999
118,33.80898858999999
119,31.91498744999999
120,30.127012690000022
121,28.43914573000001
122,26.845779469999997
123,25.341636659999995
124,23.921771799999988
125,22.58138590000001
126,21.316084990000004
127,20.121650389999978
128,18.994111720000014
129,17.92973421999999
130,16.924962160000007
131,15.976497229999998
132,15.0811975
133,14.236034089999992
134,13.438208309999997
135,12.68509209
136,11.974171020000009
137,11.303088249999997
138,11.084953169999991
139,10.87104883000001
140,10.661252070000007
141,10.45549733999999
142,10.253714089999995
143,10.05583261000001
144,9.861759519999987
145,9.671430010000005
146,9.484767230000003
147,9.301686089999983
148,9.122163610000007
149,8.946092059999998
150,8.77341404
151,8.604066050000002
152,8.437982690000004
153,8.275094869999998
154,8.115359769999998
155,7.958700069999999
156,7.805055919999997
157,7.6543680499999995
158,7.5065996799999954
159,7.637170390000004
160,7.769996580000001
161,7.905135420000003
162,8.042614000000002
163,8.182481790000006
164,8.324780740000007
165,8.469543290000003
166,8.616817619999992
167,8.766645469999997
168,8.919077319999996
169,9.074138579999996
170,9.231913390000004
171,9.392422100000003
172,9.555697719999987
173,9.721805070000018
174,9.890804679999997
175,10.062717859999994
176,10.237620899999994
177,10.415545039999996
178,10.596572039999987
179,10.780716760000004
180,11.16559221
181,11.564383440000011
182,11.977564950000007
183,12.405696430000015
184,12.849153019999989
185,13.308496339999992
186,13.784271629999996
187,14.277141750000002
188,14.78769405
189,15.31651925
190,15.864291850000004
191,16.431664849999983
192,17.019331609999995
193,17.62801056000001
194,18.25839944999999
195,18.911334649999997
196,19.587577389999993
197,20.28799443999999
198,21.013425039999984
199,21.76477261000001
200,22.542966249999985
201,23.820029389999974
