,S,I,X,R,D
0,6572725.92,2.334329621468,0.2,0.2,0.0056
1,6572725.827,2.7245599982899993,0.4128729621467991,0.45343296214679907,0.012696098959796015
2,6572725.333000006,3.180040649270008,0.6428863082969961,0.7671769653470039,0.021480915650760015
3,6572724.435000015,3.711714904600004,0.894801830545,1.1494697572390036,0.03218519713159994
4,6572723.410900019,4.332277785299974,1.1739875901799992,1.6101217851599976,0.04508340701639995
5,6572722.163799999,5.0565994260999965,1.4865294916200011,2.160746695030004,0.06050092655550001
6,6572720.898999962,5.9020452035,1.83937390155,2.8150631373399984,0.07882170675199984
7,6572718.919199921,6.888844718699997,2.2404907981899953,3.5892066737799952,0.10049769862699998
8,6572716.959099881,8.040622480800007,2.699052380760005,4.5021350604000165,0.1260598699990002
9,6572713.877599838,9.38499147410002,3.22565272709999,5.5761051488000035,0.1561309485210005
10,6572708.578099787,10.954138165000003,3.8325545402999923,6.837165524300014,0.1914407394230001
11,6572703.245099788,12.785644150400053,4.533981957900016,8.315837369299967,0.23284343787300063
12,6572696.719299878,14.923372919999963,5.346453006400004,10.047803799100004,0.2813384178699996
13,6572689.576899998,17.418524682999955,6.2891747413,12.074784517599985,0.3380938985300003
14,6572683.743000105,20.330859609999933,7.3844999123000115,14.44555118599996,0.40447545345000063
15,6572677.191400148,23.73012321100008,8.658459507900005,17.217088302700006,0.4820784820899994
16,6572669.587200183,27.69772697099997,10.141381654300016,20.455946224000016,0.5727665279599993
17,6572659.7039001975,32.32868443500006,11.868620503099969,24.239861941000026,0.6787159919200004
18,6572646.453400218,37.73390782600005,13.881395527999986,28.65958552800001,0.8024684613099988
19,6572633.063700208,44.04283308100019,16.227777876999976,33.821116540000176,0.946991276439998
20,6572616.853800171,51.40655294399989,18.963845603999964,39.84817637099988,1.1157489630999975
21,6572597.622200096,60.00139907699989,22.15501880099998,46.885216337000024,1.3127860903500008
22,6572575.600200052,70.03318083200027,25.877621630999997,55.10086671799988,1.5428240914999998
23,6572549.4099999955,81.74211496600013,30.220718310000077,64.6919461059999,1.811374452699998
24,6572519.452900014,95.40857875700004,35.28824226299986,75.88822844100001,2.1248702611000048
25,6572483.964000011,111.35974949000031,41.201466267000015,88.95790179799963,2.4908211587000006
26,6572442.81990003,129.97756754999986,48.10193639299989,104.21403426500018,2.917992980300001
27,6572395.006800029,151.70771997999995,56.154807390000116,122.02197366999988,3.4166154515999976
28,6572338.407200022,177.07039370000027,65.5528653830001,142.80823556000024,3.998630523
29,6572273.256600013,206.6726667600001,76.52106806400015,167.07056117000042,4.677975613499991
30,6572196.623300026,241.22303083999958,89.32197250400002,195.38993147000036,5.470917657999994
31,6572107.532700035,281.54827411000014,104.26197575000023,228.4444297199988,6.396444039099974
32,6572003.06569999,328.6132795699994,121.69866675000007,267.0254428499998,7.476712066400027
33,6571881.872800026,383.5440001999996,142.04937730999987,312.05663977999836,8.737585959500004
34,6571739.867199992,447.6542838499993,165.80110221000038,364.61597931999944,10.209247860200016
35,6571574.160599986,522.4771271399995,193.52216607999935,425.961558949999,11.926922797000017
36,6571380.948300001,609.8013359000005,225.8758130199999,497.561447900001,13.931720912999996
37,6571155.01589998,711.713829819998,263.6358932700001,581.1291453399996,16.271616541999997
38,6570891.8198000025,830.6493699699987,307.7055110499998,678.664154859999,19.002596340999965
39,6570584.701199981,969.448055650001,359.1383343799997,792.4996448999996,22.189988913999944
40,6570225.982299991,1131.4227199000015,419.16369427000035,925.3583030800007,25.910030241999984
41,6569807.915000008,1320.4371817000053,489.2159582999991,1080.4169169999964,30.251672146999987
42,6569319.342999976,1540.9972407999953,570.9682673900019,1261.3822063999914,35.31870167399987
43,6568750.001299985,1798.3561884999938,666.372460100003,1472.5787402999986,41.232205493999906
44,6568084.498799991,2098.6384469,777.7049214799998,1719.0517304999996,48.1334468309999
45,6567308.456899993,2448.9823421000033,907.620776100002,2006.6859979000026,56.18720772400001
46,6566403.082199986,2857.704670999988,1059.2156054999984,2342.3462811999925,65.5856977749999
47,6565346.992899988,3334.4955593000072,1236.0987399000046,2734.0384109000015,76.5530753819999
48,6564114.176299984,3890.6378474999947,1442.4773882000031,3191.0978056000004,89.35073692300003
49,6562676.686199979,4539.265707799992,1683.254440199999,3724.4093820999933,104.28345680999985
50,6561502.705199965,4792.574127500013,1964.1424109999998,4346.661519700012,121.70652461999964
51,6560263.979699983,5059.797000200004,2241.4859973999914,5022.332871100007,140.62532489999973
52,6558955.8831,5341.672367700005,2517.041106900006,5752.4613856999695,161.06891891000004
53,6557575.355399993,5638.975607099978,2792.4564262000117,6538.332450399997,183.07331062000043
54,6556118.204700013,5952.519043100018,3069.2895342999955,7381.4758418,206.681320689999
55,6554580.219899991,6283.154152500004,3349.0184236000096,8283.656655100005,231.94237679999958
56,6552957.437999993,6631.774121000002,3633.0548877999845,9246.874118200018,258.91245464000025
57,6551245.000100042,6999.312824799991,3922.753930500002,10273.356631999968,287.65398067999973
58,6549438.286399993,7386.749315700003,4219.426286499996,11365.563389999978,318.2357878399999
59,6547531.812000004,7795.104885899972,4524.3443469999875,12526.180486000005,350.73308208999975
60,6545520.4747000085,8225.44994640001,4838.752242499982,13758.125543999955,385.22751146999866
61,6543398.784299995,8678.901519200004,5163.873425200012,15064.545682000029,421.8072784699977
62,6541160.961200023,9156.624366399989,5500.917081999994,16448.823432000056,460.56706073999953
63,6538800.756499996,9659.837152999984,5851.085599000004,17914.578020000023,501.6081817600004
64,6536311.864500003,10189.805266999996,6215.577878999999,19465.66996999997,545.0387583300005
65,6534812.126699992,9623.048343500017,6595.596582200009,21106.20726699998,590.9738240400001
66,6533396.295999999,9087.489392799991,6879.874306200001,22728.071310999952,636.3859865199971
67,6532059.025799991,8581.446003400035,7081.372140599974,24324.808520000108,681.0946563000001
68,6530797.164099994,8103.324250399987,7211.551395300011,25891.08980699998,724.9505140299999
69,6529605.553000007,7651.611156300009,7280.537171800014,27422.579627000046,767.8322385599987
70,6528480.577700013,7224.872795399977,7297.258833700008,28915.79401199995,809.6422202999997
71,6527418.335299996,6821.751767399999,7269.587821800004,30368.00528199999,850.3041795300006
72,6526415.821899969,6440.959115400019,7204.449012299983,31777.142409999895,889.7599302699998
73,6525469.264599978,6081.277520199999,7107.927774199991,33141.682952999894,927.9670729899998
74,6524575.459800003,5741.551922699997,6985.360370199999,34460.60176900001,964.8968552900009
75,6523732.082099995,5420.6897088999995,6841.420631300015,35733.29294500008,1000.5321850799977
76,6522935.755300027,5117.6554153999605,6680.191342599993,36959.50525100003,1034.8661038000018
77,6522183.439100003,4831.47026709999,6505.23302329999,38139.28758799999,1067.9001229000028
78,6521474.101199984,4561.206660399994,6319.642310399998,39272.960923000006,1099.6427871999979
79,6520805.061900016,4305.98847130001,6126.104244999999,40361.04371999987,1130.1092243999997
80,6520172.251099994,4064.9857491000002,5926.939333199997,41404.25451199993,1159.319107399999
81,6519575.877199983,3837.413664700002,5724.148472300006,42403.44650499985,1187.2964765000015
82,6519011.919199992,3622.5306103999906,5519.447180500003,43359.60139000027,1214.0688732000015
83,6518480.405800006,3419.6343157000083,5314.301119499998,44273.800611999824,1239.6664347999986
84,6517978.766800014,3228.0610071999945,5109.954932599993,45147.19568100003,1264.1214104000026
85,6517504.849499981,3047.183997899995,4907.457335100004,45980.99280899991,1287.4678665999986
86,6517057.442299994,2876.4089682000067,4707.689067900011,46776.45853599991,1309.7408919999966
87,6516635.071899993,2715.175879800003,4511.379552399999,47534.868002000025,1330.9762743999934
88,6516237.497300011,2562.9549573999984,4319.127236499996,48257.52092500007,1351.2106759000035
89,6515860.8675000165,2419.244927999995,4131.4164459000085,48945.73105700012,1370.4805011999983
90,6515506.356599987,2283.572304199996,3948.6312326999996,49600.8017110001,1388.8223932999983
91,6515171.080499978,2155.4900458000025,3771.069165800016,50224.02128599998,1406.2724672000008
92,6514854.810499971,2034.5756279000032,3598.9521080000122,50816.67769700005,1422.866824300002
