x,y,S,I,R,D,X,N
-7.44842,53.8284,426.985,0.007435,0.00251111,0.00491542,0.000137632,427
-6.56061,52.8671,1116.92,0.0354694,0.0127611,0.0261447,0.000732053,1117
-6.62653,52.85,295.981,0.00899175,0.00325048,0.00665237,0.000186266,296
-6.75321,52.8664,342.979,0.00999002,0.00353183,0.00713401,0.000199752,343
-6.71662,52.893,728.952,0.0229188,0.00814034,0.0165945,0.000464647,729
-6.67087,52.887,874.942,0.0274137,0.00981306,0.0200351,0.000560982,875
-6.62037,52.8871,331.977,0.0107899,0.00390041,0.00806391,0.00022579,332
-6.67918,52.8538,282.982,0.00839906,0.00297404,0.0060493,0.00016938,283
-6.90869,52.7361,394.982,0.00867821,0.00296983,0.00582909,0.000163215,395
-6.92384,52.8034,1024.95,0.0240475,0.00825673,0.0161681,0.000452706,1025
-6.68773,52.7501,561.971,0.0140546,0.00486645,0.00964852,0.000270159,562
-7.0455,54.3798,219.997,0.00167417,0.000535176,0.00101283,2.83592e-05,220
-7.14467,54.306,656.989,0.00586486,0.00189194,0.00355652,9.95827e-05,657
-7.04498,54.3,921.984,0.00804127,0.00256392,0.00481438,0.000134803,922
-6.9028,54.2699,888.984,0.00829197,0.0026406,0.00497299,0.000139244,889
-6.88975,54.1683,647.985,0.00739687,0.00243238,0.00464399,0.000130032,648
-6.92771,52.8372,4559.78,0.108641,0.0367802,0.0713658,0.00199824,4560
-6.9392,52.8378,1404.93,0.0336082,0.0114037,0.0222108,0.000621903,1405
-6.58151,52.8291,525.967,0.015689,0.00556614,0.0112912,0.000316153,526
-6.92503,52.6013,1050.96,0.0182171,0.00607472,0.0117215,0.000328203,1051
-6.84515,52.8603,524.971,0.013837,0.00482658,0.00963775,0.000269857,525
-6.91242,52.8442,14545.3,0.353974,0.120924,0.236039,0.0066091,14546
-6.99499,52.7922,1037.95,0.0233708,0.00795318,0.015597,0.000436716,1038
-6.77604,52.6732,592.974,0.0126643,0.00431178,0.00845555,0.000236755,593
-6.92196,52.7665,854.961,0.0193935,0.00661113,0.0129277,0.000361976,855
-7.03391,52.7333,575.977,0.0113614,0.00387608,0.0075405,0.000211134,576
-6.81963,52.6226,121.995,0.00233351,0.000793653,0.00154146,4.3161e-05,122
-7.01797,52.7704,444.98,0.00965191,0.00327511,0.00643403,0.000180153,445
-6.66699,52.7011,1000.95,0.0231026,0.00797667,0.0157873,0.000442044,1001
-6.89597,52.6617,536.979,0.0105861,0.00355319,0.00690979,0.000193474,537
-6.7181,52.6642,1102.95,0.0236442,0.00801138,0.0156961,0.000439492,1103
-6.85185,52.7208,780.965,0.0171095,0.00585681,0.0114789,0.00032141,781
-6.82678,52.6667,579.976,0.0119579,0.00406407,0.00796422,0.000222998,580
-6.79411,52.8174,464.975,0.011925,0.00416509,0.00828947,0.000232105,465
-6.85025,52.8308,588.969,0.0150353,0.00519586,0.0102826,0.000287914,589
-6.85714,52.7939,973.952,0.0236619,0.00811154,0.0160179,0.000448501,974
-6.73027,52.7378,437.978,0.0105198,0.00364281,0.0072761,0.000203731,438
-6.86798,52.6194,404.985,0.00743721,0.0024899,0.00483667,0.000135427,405
-6.8065,52.847,372.979,0.0100819,0.00352777,0.00705216,0.000197461,373
-6.98465,52.7126,1640.93,0.0323998,0.010888,0.0211256,0.000591517,1641
-6.93256,52.7039,653.974,0.0131529,0.0044381,0.00863023,0.000241646,654
-6.96264,52.7016,2751.89,0.0535526,0.0179632,0.0347437,0.000972823,2752
-6.77013,52.7294,716.965,0.0169207,0.00581326,0.0114684,0.000321115,717
-6.94806,52.6299,424.985,0.00775778,0.00256773,0.00497304,0.000139245,425
-6.89739,52.6926,343.986,0.00699813,0.00237753,0.00464756,0.000130132,344
