x,y,S,I,R,X,N
292,216,1656.78,21.6882,8.71099,12.8176,1700
212,265,585.919,0.0428005,0.0143822,0.0233697,586
181,285,259.971,0.0145118,0.00587439,0.0089256,260
56,125,326.939,0.0307368,0.0118826,0.0183308,327
236,249,510.772,0.119117,0.0427452,0.0658331,511
280,217,3248.72,4.24955,1.60632,2.41972,3257
203,169,299.921,0.0414536,0.0141716,0.0238165,300
285,196,4486.51,4.75194,1.93479,2.80219,4496
167,170,249.944,0.0292766,0.0102181,0.0162301,250
228,109,423.883,0.0585392,0.0237643,0.0346668,424
246,316,951.934,0.0348995,0.0120428,0.0195478,952
222,269,549.919,0.043582,0.0143678,0.0229714,550
210,214,510.893,0.0539061,0.0219348,0.0311801,511
62,225,96.9896,0.00525033,0.00211099,0.0030173,97
138,138,1910.31,0.365863,0.129703,0.197666,1911
252,143,418.928,0.0367968,0.0140062,0.0212096,419
252,113,91.9874,0.00665946,0.00229524,0.00361937,92
246,152,1404.88,0.0637534,0.0223309,0.0349501,1405
102,199,2096.97,0.0183258,0.00642229,0.00998871,2097
169,39,546.591,1.73009,0.676945,1.00183,550
84,73,1980.19,0.944301,0.347128,0.518255,1982
239,304,507.956,0.0229615,0.00839737,0.0129643,508
76,12,440.89,0.0573338,0.0208623,0.031789,441
127,42,1667.86,2.67531,0.980263,1.48847,1673
92,276,485.989,0.00600017,0.00196067,0.00300432,486
299,149,3012.42,0.301174,0.109468,0.168679,3013
259,220,959.627,0.702557,0.270577,0.399612,961
222,209,546.82,0.0922023,0.0354859,0.0527108,547
263,142,561.896,0.0546329,0.020326,0.0294495,562
221,202,1485.59,0.211525,0.0771156,0.117619,1486
144,48,2429.84,3.73533,1.34795,2.07341,2437
45,85,352.945,0.0285113,0.0108835,0.0160711,353
235,180,571.825,0.0860649,0.0358074,0.0529063,572
235,87,352.981,0.0102316,0.00323855,0.00527476,353
147,34,524.464,0.790235,0.298377,0.447025,526
187,251,1028.94,0.0310533,0.0118296,0.0176846,1029
179,172,155.963,0.0186048,0.00703142,0.011169,156
205,379,456.993,0.00308262,0.00155404,0.00205359,457
128,206,384.978,0.0105195,0.00451206,0.00685131,385
268,243,977.593,0.713726,0.277921,0.414979,979
216,220,331.915,0.0441932,0.0160311,0.0252055,332
177,376,924.978,0.0154348,0.00188595,0.00475727,925
252,151,588.882,0.0641313,0.020374,0.0334405,589
201,251,168.971,0.0138733,0.00562244,0.00910486,169
209,389,1792.98,0.0096708,0.00406217,0.00573041,1793
282,232,1619.83,4.15161,1.62163,2.39797,1628
112,150,1985.66,0.175865,0.0625084,0.0974503,1986
288,205,1850.75,1.68726,0.617299,0.945012,1854
228,76,2084.47,0.280712,0.0987993,0.1482,2085
233,156,770.846,0.0783332,0.0303796,0.0454948,771
191,245,449.95,0.0268466,0.00895775,0.0138452,450
132,131,714.898,0.0557765,0.0178701,0.028693,715
174,222,1629.88,0.063101,0.0220061,0.0347677,1630
234,217,527.736,0.135569,0.05147,0.0771006,528
101,64,902.554,1.25997,0.472978,0.712875,905
98,53,595.677,0.683723,0.254326,0.385035,597
278,244,5554.96,5.19041,1.93653,2.91732,5565
298,196,5608.4,7.37114,2.94119,4.29115,5623
171,52,684.548,3.28981,1.27119,1.89129,691
116,131,1074.57,0.213563,0.0862786,0.125819,1075
166,162,336.926,0.0372708,0.0155481,0.0216421,337
96,99,671.083,0.460273,0.182249,0.274622,672
251,98,522.921,0.0411642,0.0151486,0.0226273,523
247,144,854.823,0.083017,0.0400322,0.0541773,855
163,110,2137.93,2.6702,0.945729,1.45557,2143
218,238,212.927,0.0357857,0.0146248,0.0222326,213
53,107,501.919,0.0383903,0.0170041,0.0251316,502
185,291,90.99,0.0052462,0.00186287,0.00286993,91
163,270,119.99,0.00503694,0.00222195,0.00310532,120
167,321,194.989,0.00512472,0.00232155,0.00325025,195
287,209,3476.94,3.69468,1.33146,2.033,3484
257,101,548.931,0.0370866,0.0118672,0.0196989,549
50,98,721.91,0.0456942,0.0175724,0.026346,722
101,148,708.877,0.0642644,0.0228737,0.0358128,709
257,295,882.881,0.0616399,0.022935,0.0348249,883
144,48,1661.46,2.87045,1.05314,1.61616,1667
252,155,524.909,0.0475208,0.0173657,0.0264898,525
151,96,362.455,5.66075,2.41466,3.46924,374
207,205,758.879,0.0580858,0.0271469,0.0354303,759
44,232,438.98,0.0098646,0.00387933,0.00585799,439
213,182,424.879,0.0553806,0.0279027,0.0375641,425
143,47,1188.66,1.23537,0.433768,0.671823,1191
228,261,900.761,0.118768,0.0491073,0.0708479,901
161,155,1869.77,0.121017,0.0404135,0.0645383,1870
96,180,89.9887,0.005629,0.00229896,0.00332957,90
241,247,426.747,0.138325,0.0453372,0.0692933,427
271,206,6249.52,3.82261,1.47097,2.18684,6257
159,94,185.907,3.95933,1.69705,2.43702,194
200,232,110.978,0.011012,0.00450219,0.00655163,111
266,112,983.91,0.0464312,0.0173844,0.0262702,984
77,112,321.927,0.0378509,0.0141062,0.0211213,322
80,18,310.901,0.0535714,0.018141,0.0275203,311
87,93,370.673,0.170174,0.0624418,0.0941837,371
136,302,346.992,0.004397,0.00146461,0.00232337,347
184,258,896.889,0.0576338,0.0203287,0.0333788,897
291,238,704.227,1.4419,0.526598,0.804638,707
132,132,735.899,0.054104,0.0183563,0.0289257,736
214,208,272.939,0.0300201,0.012702,0.0178357,273
285,205,3445.44,1.86467,0.667756,1.03144,3449
139,358,119.997,0.0015215,0.000510933,0.000800158,120
250,86,823.763,0.112095,0.052631,0.0723362,824
254,109,420.939,0.0309908,0.0116082,0.0181215,421
245,123,284.96,0.0212003,0.00715982,0.0111708,285
102,109,5101.7,1.21087,0.427714,0.660344,5104
90,50,450.324,0.346341,0.134229,0.195856,451
292,213,5696.97,55.709,21.3086,32.0078,5806
93,256,550.973,0.0131949,0.00526447,0.00810091,551
219,166,173.968,0.0177797,0.00550452,0.00900091,174
133,236,469.969,0.0154829,0.00629287,0.0091755,470
154,301,373.986,0.00715734,0.00265431,0.00400953,374
204,221,126.97,0.0146874,0.00608434,0.00934564,127
144,312,5221.95,0.0277688,0.00966143,0.0149537,5222
19,48,279.955,0.0235483,0.00854075,0.0131303,280
167,263,161.978,0.0101662,0.00516585,0.00704521,162
243,160,432.919,0.0454967,0.0137543,0.021681,433
83,204,1043.84,0.0745064,0.0359996,0.0499339,1044
141,48,605.584,0.735734,0.273524,0.407166,607
73,32,1081.25,0.38043,0.148558,0.21835,1082
160,222,333.957,0.0226971,0.00770543,0.0127563,334
287,207,1941,1.56271,0.567443,0.866358,1944
288,211,4069.61,8.03915,2.90428,4.44732,4085
240,222,549.666,0.173438,0.0638003,0.0963203,550
293,204,2943,6.14577,2.34526,3.51302,2955
281,214,11301,9.95155,3.55665,5.47183,11320
60,199,1282.84,0.0825168,0.0318069,0.0479386,1283
202,176,170.96,0.020321,0.00796698,0.0115686,171
272,170,257.699,0.150289,0.0607971,0.0894644,258
287,204,2071.26,1.42122,0.521118,0.794636,2074
295,216,4540.35,150.633,67.8595,95.1559,4854
52,51,145.943,0.0288748,0.0113448,0.0169007,146
41,22,1482.02,0.476188,0.210383,0.295134,1483
293,205,2073.1,5.1267,1.89107,2.8794,2083
263,195,21588.8,4.3382,1.53439,2.36436,21597
201,161,831.799,0.104031,0.0374654,0.0594775,832
234,259,1128.7,0.15579,0.0567621,0.0879115,1129
56,289,302.99,0.00516173,0.00208438,0.00303505,303
146,259,154.994,0.00306269,0.00119909,0.00174282,155
135,149,142.944,0.0284015,0.0108299,0.0164614,143
142,48,2179.92,2.66918,0.94982,1.466,2185
233,79,9543.7,0.686383,0.24341,0.373853,9545
148,393,1439.99,0.00362863,0.00132201,0.0020161,1440
142,66,622.333,22.3038,13.1351,16.2286,674
166,354,4026.97,0.016063,0.00503204,0.00825347,4027
292,213,3516.02,37.4205,14.764,21.7988,3590
293,205,3104.87,8.72625,3.3767,5.03079,3122
107,56,571.621,1.20494,0.480122,0.694409,574
245,306,911.927,0.0379985,0.0140088,0.0209216,912
157,296,122.993,0.00360384,0.00149383,0.00212692,123
232,108,149.954,0.0228231,0.0095943,0.0131802,150
102,200,2965.95,0.026424,0.00983314,0.014872,2966
137,144,339.878,0.0631978,0.0228062,0.0358683,340
57,46,278.889,0.0609884,0.0196923,0.0304247,279
175,387,378.997,0.00151348,0.000475732,0.00074005,379
294,215,1428.64,30.5084,12.555,18.2944,1490
207,255,300.963,0.0197984,0.00682003,0.0106195,301
130,152,412.849,0.0747005,0.0310012,0.0452443,413
234,289,1597.73,0.141614,0.0510339,0.0792062,1598
288,209,1308.24,1.95296,0.716365,1.08847,1312
71,209,315.961,0.0196892,0.00809096,0.0115531,316
302,184,10718,6.6109,2.56681,3.81009,10731
235,88,268.984,0.00855969,0.00313652,0.00474179,269
41,309,938.978,0.012311,0.0034971,0.00601898,939
101,159,313.959,0.0215306,0.00755511,0.0118176,314
142,48,1159.44,1.34602,0.471841,0.738026,1162
229,100,650.828,0.0883128,0.0334002,0.0499403,651
280,198,919.591,0.706422,0.287187,0.415634,921
203,274,958.902,0.0502801,0.0191785,0.0287098,959
222,245,1343.7,0.160913,0.0529704,0.0845788,1344
74,0,341.909,0.0450475,0.0185822,0.0274209,342
300,202,1745.08,5.37747,2.28456,3.26061,1756
229,188,2403.62,0.198784,0.0704353,0.109063,2404
203,248,246.957,0.0220282,0.00815102,0.0126327,247
142,46,771.702,0.684536,0.239977,0.373126,773
280,202,17808.9,7.87894,2.87733,4.38513,17824
218,198,1606.63,0.193541,0.0693328,0.106481,1607
236,120,273.954,0.0232825,0.00891515,0.0133936,274
226,191,395.9,0.0505938,0.0196081,0.0294519,396
159,273,378.972,0.0142864,0.00571707,0.00811573,379
124,35,650.629,0.712035,0.257724,0.401401,652
198,366,652.995,0.0025487,0.000872133,0.0013959,653
129,161,297.911,0.0451794,0.0172237,0.0261177,298
64,123,142.973,0.0137599,0.00494924,0.00780955,143
82,66,752.375,0.320191,0.123005,0.181951,753
187,217,773.919,0.0419566,0.0144919,0.0242886,774
251,257,910.49,0.254478,0.105072,0.15091,911
75,19,335.908,0.0475161,0.0176552,0.0267137,336
63,204,834.899,0.0512881,0.0196672,0.0298734,835
114,191,1370.9,0.0512061,0.0189869,0.0287417,1371
166,78,230.166,6.69821,2.9697,4.16631,244
278,282,1709.84,0.0839177,0.029273,0.0453858,1710
240,319,1161.93,0.0389651,0.0126344,0.0212551,1162
297,214,1880.75,122.709,75.0077,90.5372,2169
125,116,1689.56,1.26116,0.468961,0.706913,1692
148,97,295.864,4.05019,1.66637,2.41971,304
163,55,587.443,4.27201,1.74768,2.53759,596
151,141,456.714,0.150614,0.0524084,0.0830844,457
187,406,240.995,0.00230271,0.00121951,0.00149663,241
214,204,598.886,0.0576113,0.0230313,0.032908,599
118,307,468.99,0.00515912,0.00200461,0.0030237,469
187,206,464.898,0.0493217,0.0210382,0.0318726,465
202,94,353.419,0.286856,0.117948,0.175976,354
143,255,2970.89,0.0566346,0.0192382,0.0291505,2971
119,52,549.988,1.5492,0.583085,0.880068,553
45,106,577.908,0.0506056,0.0158973,0.0252008,578
