S,I,X,R,D,N
688.794,0.501468,0.822857,411.364,11.5182,1113
1131.83,0.823863,1.35191,676.065,18.9298,1829
929.571,0.676801,1.11056,555.099,15.5428,1502
1073.16,0.781305,1.28203,640.832,17.9433,1734
1127.64,0.821026,1.34721,673.339,18.8535,1822
1864.61,1.35785,2.22799,1113.62,31.1815,3013
1671.46,1.21661,1.99637,998.374,27.9545,2701
1208.67,0.879921,1.44388,721.794,20.2102,1953
1667.24,1.21381,1.99175,995.673,27.8788,2694
1324.29,0.9639,1.58171,791.02,22.1486,2140
1050.88,0.765142,1.25551,627.533,17.5709,1698
1373.93,1.00033,1.64142,820.452,22.9727,2220
1208.69,0.88002,1.44402,721.771,20.2096,1953
1732.9,1.26166,2.07027,1034.79,28.9742,2800
1586.85,1.15529,1.89573,947.57,26.5319,2564
1717.29,1.25042,2.0518,1025.69,28.7193,2775
1079.96,0.78619,1.29008,644.908,18.0574,1745
966.696,0.703691,1.15472,577.282,16.1639,1562
1453.78,1.05841,1.73674,868.115,24.3072,2349
1634.5,1.19004,1.95273,976.027,27.3288,2641
956.186,0.696154,1.14232,570.988,15.9877,1545
1118.32,0.814213,1.33605,667.826,18.6991,1807
1325.67,0.965215,1.58378,791.615,22.1652,2142
1509.37,1.09911,1.80347,901.484,25.2415,2439
1662.77,1.2101,1.98573,993.224,27.8103,2687
974.191,0.70949,1.16417,581.649,16.2862,1574
1259.5,0.917329,1.50517,752.018,21.0565,2035
1452.63,1.05804,1.73605,867.289,24.2841,2347
1253.93,0.913178,1.49839,748.696,20.9635,2026
1357.29,0.988444,1.62189,810.411,22.6915,2193
890.014,0.648235,1.06365,531.395,14.8791,1438
996.476,0.725784,1.19089,594.949,16.6586,1610
922.11,0.671569,1.10194,550.697,15.4195,1490
1182.76,0.861379,1.41339,706.191,19.7733,1911
1776.29,1.29378,2.12287,1060.59,29.6966,2870
1026.18,0.747405,1.22636,612.687,17.1552,1658
801.511,0.583754,0.957843,478.548,13.3993,1295
823.789,0.599983,0.984469,491.855,13.7719,1331
800.9,0.583325,0.957123,478.171,13.3888,1294
820.073,0.597282,0.980042,489.64,13.7099,1325
1001.42,0.729366,1.19677,597.91,16.7415,1618
1045.97,0.761792,1.24997,624.529,17.4868,1690
1013.19,0.737925,1.21081,604.921,16.9378,1637
871.444,0.634671,1.0414,520.311,14.5687,1408
957.479,0.697316,1.1442,571.673,16.0068,1547
891.252,0.649128,1.06512,532.134,14.8998,1440
826.886,0.602254,0.988196,493.7,13.8236,1336
861.533,0.627484,1.02959,514.406,14.4034,1392
911.05,0.663532,1.08875,543.966,15.2311,1472
977.885,0.712225,1.16864,583.885,16.3488,1580
934.569,0.680622,1.1168,558.009,15.6242,1510
993.98,0.723878,1.18778,593.491,16.6177,1606
1240.81,0.903522,1.48256,741.054,20.7495,2005
918.473,0.668856,1.0975,548.405,15.3554,1484
948.813,0.691034,1.13388,566.5,15.862,1533
992.128,0.722574,1.18563,592.378,16.5866,1603
1109.73,0.808264,1.32623,662.58,18.5523,1793
